epoch,train_loss,val_loss,lr,time_sec,is_best,patience
1,0.014216,0.005414,0.001,4.59,True,0
2,0.004749,0.019923,0.001,5.14,False,1
3,0.003227,0.02242,0.001,4.53,False,2
4,0.002337,0.006417,0.001,4.35,False,3
5,0.002145,0.015366,0.001,4.44,False,4
6,0.002137,0.006855,0.001,4.65,False,5
7,0.001561,0.017186,0.001,4.37,False,6
8,0.001284,0.015012,0.0005,4.5,False,7
9,0.001262,0.015025,0.0005,4.29,False,8
10,0.00116,0.010899,0.0005,5.3,False,9
11,0.001089,0.006886,0.0005,4.67,False,10
12,0.001058,0.012417,0.0005,4.46,False,11
13,0.001089,0.008578,0.0005,4.3,False,12
14,0.00095,0.012699,0.00025,4.68,False,13
15,0.00097,0.009546,0.00025,4.24,False,14
16,0.000857,0.019184,0.00025,4.94,False,15
