epoch,train_loss,val_loss,lr,time_sec,is_best,patience
1,0.009331,0.011454,0.001,1.58,True,0
2,0.002442,0.013439,0.001,1.47,False,1
3,0.001777,0.008275,0.001,1.32,True,0
4,0.001644,0.006106,0.001,1.45,True,0
5,0.001447,0.009909,0.001,1.4,False,1
6,0.00122,0.005056,0.001,1.36,True,0
7,0.00131,0.00222,0.001,1.43,True,0
8,0.001391,0.008902,0.001,1.25,False,1
9,0.001002,0.009173,0.001,1.43,False,2
10,0.00101,0.005329,0.001,1.27,False,3
11,0.001061,0.004038,0.001,1.29,False,4
12,0.000861,0.006291,0.001,1.32,False,5
13,0.001128,0.009744,0.001,1.25,False,6
14,0.000765,0.006351,0.0005,1.36,False,7
15,0.000755,0.007585,0.0005,1.33,False,8
16,0.000703,0.004224,0.0005,1.29,False,9
17,0.000764,0.009815,0.0005,1.29,False,10
18,0.000816,0.006563,0.0005,1.39,False,11
19,0.000867,0.009301,0.0005,1.37,False,12
20,0.000726,0.00845,0.00025,1.34,False,13
21,0.00069,0.005525,0.00025,1.35,False,14
22,0.000712,0.007991,0.00025,1.5,False,15
