epoch,train_loss,val_loss,lr,time_sec,is_best,patience
1,0.034648,0.003578,0.001,2.51,True,0
2,0.003477,0.009803,0.001,2.37,False,1
3,0.002352,0.012852,0.001,2.31,False,2
4,0.002103,0.008047,0.001,2.31,False,3
5,0.001723,0.005603,0.001,2.4,False,4
6,0.001494,0.002426,0.001,2.31,True,0
7,0.001297,0.003528,0.001,2.42,False,1
8,0.001236,0.004182,0.001,2.35,False,2
9,0.001225,0.002735,0.001,2.42,False,3
10,0.001169,0.001506,0.001,2.3,True,0
11,0.001135,0.001338,0.001,2.55,True,0
12,0.001207,0.005504,0.001,2.37,False,1
13,0.00104,0.003379,0.001,2.47,False,2
14,0.001042,0.005934,0.001,2.26,False,3
15,0.001101,0.003376,0.001,2.39,False,4
16,0.001035,0.001138,0.001,2.45,True,0
17,0.001009,0.003471,0.001,2.42,False,1
18,0.000993,0.00277,0.001,2.47,False,2
19,0.000929,0.002614,0.001,2.45,False,3
20,0.000938,0.003039,0.001,2.29,False,4
21,0.000944,0.001715,0.001,2.39,False,5
22,0.000948,0.00166,0.001,2.21,False,6
23,0.000867,0.003858,0.0005,2.27,False,7
24,0.00082,0.001516,0.0005,2.2,False,8
25,0.000847,0.003382,0.0005,2.56,False,9
26,0.000796,0.003308,0.0005,2.46,False,10
27,0.000807,0.003363,0.0005,2.13,False,11
28,0.000798,0.002927,0.0005,2.25,False,12
29,0.000803,0.002707,0.00025,2.19,False,13
30,0.000804,0.004171,0.00025,2.54,False,14
31,0.000775,0.002405,0.00025,2.33,False,15
