epoch,train_loss,val_loss,lr,time_sec,is_best,patience
1,0.020396,0.011644,0.001,0.92,True,0
2,0.002384,0.009799,0.001,0.84,True,0
3,0.002392,0.005934,0.001,0.82,True,0
4,0.001894,0.016809,0.001,0.85,False,1
5,0.001515,0.039763,0.001,0.85,False,2
6,0.001268,0.014986,0.001,0.85,False,3
7,0.001028,0.011224,0.001,0.84,False,4
8,0.001386,0.00108,0.001,0.92,True,0
9,0.00125,0.026098,0.001,0.87,False,1
10,0.001128,0.004204,0.001,0.85,False,2
11,0.000864,0.016152,0.001,0.87,False,3
12,0.00093,0.014837,0.001,0.86,False,4
13,0.000742,0.007263,0.001,0.86,False,5
14,0.000803,0.014657,0.001,0.83,False,6
15,0.000696,0.016029,0.0005,0.86,False,7
16,0.000685,0.018519,0.0005,0.92,False,8
17,0.000551,0.017518,0.0005,1.04,False,9
18,0.000537,0.020826,0.0005,0.85,False,10
19,0.000518,0.003464,0.0005,0.87,False,11
20,0.00071,0.020756,0.0005,0.88,False,12
21,0.000511,0.018057,0.00025,0.86,False,13
22,0.000504,0.009884,0.00025,0.84,False,14
23,0.000464,0.018575,0.00025,0.87,False,15
