epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.423463,0.174031,0.174031,0.001,6.45,True,0,AAPL,42
2,0.415376,0.16125,0.16125,0.001,6.73,True,0,AAPL,42
3,0.40983,0.161882,0.16125,0.001,6.44,False,1,AAPL,42
4,0.408592,0.159908,0.159908,0.001,6.45,True,0,AAPL,42
5,0.406873,0.159598,0.159598,0.001,7.08,True,0,AAPL,42
6,0.406274,0.159533,0.159533,0.001,6.35,True,0,AAPL,42
7,0.407016,0.159734,0.159533,0.001,7.13,False,1,AAPL,42
8,0.405746,0.159612,0.159533,0.001,6.47,False,2,AAPL,42
9,0.406234,0.159691,0.159533,0.001,6.57,False,3,AAPL,42
10,0.405991,0.159502,0.159502,0.001,6.51,True,0,AAPL,42
11,0.406352,0.159548,0.159502,0.001,6.64,False,1,AAPL,42
12,0.405841,0.15977,0.159502,0.001,6.6,False,2,AAPL,42
13,0.406668,0.159612,0.159502,0.001,6.61,False,3,AAPL,42
14,0.406157,0.159523,0.159502,0.001,6.48,False,4,AAPL,42
15,0.406272,0.159527,0.159502,0.001,6.59,False,5,AAPL,42
16,0.405897,0.159524,0.159502,0.001,7.01,False,6,AAPL,42
17,0.405601,0.159609,0.159502,0.0005,6.52,False,7,AAPL,42
