epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.031781,0.025761,0.025761,0.001,1.27,True,0,AAPL,100
2,0.003744,0.006435,0.006435,0.001,1.22,True,0,AAPL,100
3,0.002886,0.020638,0.006435,0.001,1.19,False,1,AAPL,100
4,0.003047,0.00556,0.00556,0.001,1.32,True,0,AAPL,100
5,0.002242,0.007816,0.00556,0.001,1.19,False,1,AAPL,100
6,0.002107,0.003529,0.003529,0.001,1.2,True,0,AAPL,100
7,0.001975,0.006436,0.003529,0.001,1.62,False,1,AAPL,100
8,0.001844,0.008084,0.003529,0.001,1.27,False,2,AAPL,100
9,0.001766,0.006972,0.003529,0.001,1.35,False,3,AAPL,100
10,0.001687,0.014066,0.003529,0.001,1.42,False,4,AAPL,100
11,0.001804,0.008379,0.003529,0.001,1.26,False,5,AAPL,100
12,0.001533,0.009935,0.003529,0.001,1.42,False,6,AAPL,100
13,0.001317,0.007125,0.003529,0.0005,1.34,False,7,AAPL,100
14,0.001317,0.010032,0.003529,0.0005,1.36,False,8,AAPL,100
15,0.001297,0.007199,0.003529,0.0005,1.27,False,9,AAPL,100
16,0.001245,0.006901,0.003529,0.0005,1.24,False,10,AAPL,100
17,0.001314,0.01052,0.003529,0.0005,1.21,False,11,AAPL,100
18,0.001211,0.006943,0.003529,0.0005,1.32,False,12,AAPL,100
19,0.001234,0.007976,0.003529,0.00025,1.27,False,13,AAPL,100
20,0.001106,0.009987,0.003529,0.00025,1.23,False,14,AAPL,100
21,0.001108,0.009738,0.003529,0.00025,1.33,False,15,AAPL,100
