epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.032317,0.01443,0.01443,0.001,2.24,True,0,AAPL,100
2,0.003635,0.008744,0.008744,0.001,2.45,True,0,AAPL,100
3,0.002864,0.006798,0.006798,0.001,2.21,True,0,AAPL,100
4,0.002425,0.006483,0.006483,0.001,2.35,True,0,AAPL,100
5,0.002056,0.002811,0.002811,0.001,2.43,True,0,AAPL,100
6,0.00195,0.002786,0.002786,0.001,2.3,True,0,AAPL,100
7,0.001602,0.00478,0.002786,0.001,2.31,False,1,AAPL,100
8,0.001508,0.001,0.001,0.001,2.17,True,0,AAPL,100
9,0.001353,0.002852,0.001,0.001,2.29,False,1,AAPL,100
10,0.001223,0.002862,0.001,0.001,2.27,False,2,AAPL,100
11,0.001202,0.002361,0.001,0.001,2.39,False,3,AAPL,100
12,0.001153,0.00468,0.001,0.001,2.28,False,4,AAPL,100
13,0.001148,0.001077,0.001,0.001,2.47,False,5,AAPL,100
14,0.001074,0.002001,0.001,0.001,2.27,False,6,AAPL,100
15,0.001036,0.002518,0.001,0.0005,2.27,False,7,AAPL,100
16,0.000996,0.002433,0.001,0.0005,2.23,False,8,AAPL,100
17,0.000994,0.002072,0.001,0.0005,2.52,False,9,AAPL,100
18,0.000982,0.004149,0.001,0.0005,2.54,False,10,AAPL,100
19,0.001026,0.000907,0.000907,0.0005,2.15,True,0,AAPL,100
20,0.001024,0.005206,0.000907,0.0005,2.51,False,1,AAPL,100
21,0.001023,0.002006,0.000907,0.0005,2.27,False,2,AAPL,100
22,0.000951,0.005532,0.000907,0.0005,2.31,False,3,AAPL,100
23,0.000954,0.003387,0.000907,0.0005,2.23,False,4,AAPL,100
24,0.000902,0.003368,0.000907,0.0005,2.4,False,5,AAPL,100
25,0.000943,0.004784,0.000907,0.0005,2.25,False,6,AAPL,100
26,0.000917,0.001943,0.000907,0.00025,2.24,False,7,AAPL,100
27,0.000877,0.003394,0.000907,0.00025,2.29,False,8,AAPL,100
28,0.00089,0.004178,0.000907,0.00025,2.35,False,9,AAPL,100
29,0.000891,0.002977,0.000907,0.00025,2.33,False,10,AAPL,100
30,0.000898,0.002926,0.000907,0.00025,2.27,False,11,AAPL,100
31,0.000822,0.003138,0.000907,0.00025,2.5,False,12,AAPL,100
32,0.00082,0.003135,0.000907,0.000125,2.23,False,13,AAPL,100
33,0.000894,0.003079,0.000907,0.000125,2.22,False,14,AAPL,100
34,0.000861,0.002378,0.000907,0.000125,2.23,False,15,AAPL,100
