epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.016124,0.106859,0.106859,0.001,0.98,True,0,AAPL,42
2,0.003,0.001412,0.001412,0.001,1.07,True,0,AAPL,42
3,0.002103,0.003925,0.001412,0.001,0.91,False,1,AAPL,42
4,0.001639,0.016231,0.001412,0.001,0.91,False,2,AAPL,42
5,0.001669,0.008319,0.001412,0.001,0.94,False,3,AAPL,42
6,0.001222,0.002397,0.001412,0.001,0.92,False,4,AAPL,42
7,0.001543,0.021019,0.001412,0.001,0.92,False,5,AAPL,42
8,0.001576,0.003502,0.001412,0.001,0.97,False,6,AAPL,42
9,0.000963,0.003463,0.001412,0.0005,0.94,False,7,AAPL,42
10,0.001185,0.005432,0.001412,0.0005,0.92,False,8,AAPL,42
11,0.000852,0.002189,0.001412,0.0005,1.06,False,9,AAPL,42
12,0.000636,0.005856,0.001412,0.0005,1.0,False,10,AAPL,42
13,0.000626,0.015685,0.001412,0.0005,0.94,False,11,AAPL,42
14,0.000609,0.005575,0.001412,0.0005,0.9,False,12,AAPL,42
15,0.000697,0.009702,0.001412,0.00025,0.91,False,13,AAPL,42
16,0.000712,0.012591,0.001412,0.00025,0.98,False,14,AAPL,42
17,0.000684,0.00466,0.001412,0.00025,0.94,False,15,AAPL,42
