epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.021793,0.001901,0.001901,0.001,0.22,True,0,AAPL,42
2,0.001928,0.003242,0.001901,0.001,0.19,False,1,AAPL,42
3,0.001672,0.003305,0.001901,0.001,0.09,False,2,AAPL,42
4,0.001639,0.00306,0.001901,0.001,0.08,False,3,AAPL,42
5,0.001613,0.004364,0.001901,0.001,0.09,False,4,AAPL,42
6,0.001595,0.002801,0.001901,0.001,0.07,False,5,AAPL,42
7,0.00161,0.003601,0.001901,0.001,0.09,False,6,AAPL,42
8,0.001584,0.003437,0.001901,0.0005,0.08,False,7,AAPL,42
9,0.001574,0.0042,0.001901,0.0005,0.07,False,8,AAPL,42
10,0.001566,0.003532,0.001901,0.0005,0.06,False,9,AAPL,42
11,0.001573,0.00306,0.001901,0.0005,0.07,False,10,AAPL,42
12,0.001595,0.002879,0.001901,0.0005,0.08,False,11,AAPL,42
13,0.001556,0.004105,0.001901,0.0005,0.08,False,12,AAPL,42
14,0.001535,0.003532,0.001901,0.00025,0.07,False,13,AAPL,42
15,0.001536,0.003167,0.001901,0.00025,0.12,False,14,AAPL,42
16,0.001538,0.004244,0.001901,0.00025,0.31,False,15,AAPL,42
