epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.376694,0.153045,0.153045,0.001,1.42,True,0,AAPL,42
2,0.375818,0.156588,0.153045,0.001,1.94,False,1,AAPL,42
3,0.375468,0.155003,0.153045,0.001,4.03,False,2,AAPL,42
4,0.37534,0.155748,0.153045,0.001,4.03,False,3,AAPL,42
5,0.375573,0.152024,0.152024,0.001,3.9,True,0,AAPL,42
6,0.374459,0.155904,0.152024,0.001,4.25,False,1,AAPL,42
7,0.374078,0.158221,0.152024,0.001,4.07,False,2,AAPL,42
8,0.374644,0.154547,0.152024,0.001,4.14,False,3,AAPL,42
9,0.37364,0.15306,0.152024,0.001,4.53,False,4,AAPL,42
10,0.372849,0.155195,0.152024,0.001,3.98,False,5,AAPL,42
11,0.372229,0.15296,0.152024,0.001,3.98,False,6,AAPL,42
12,0.370386,0.156692,0.152024,0.0005,3.72,False,7,AAPL,42
