epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.404729,0.421076,0.421076,0.001,8.92,True,0,ABBV,100
2,0.39387,0.422636,0.421076,0.001,8.79,False,1,ABBV,100
3,0.393659,0.422751,0.421076,0.001,8.61,False,2,ABBV,100
4,0.389938,0.421979,0.421076,0.001,8.34,False,3,ABBV,100
5,0.389694,0.421181,0.421076,0.001,8.46,False,4,ABBV,100
6,0.389499,0.421984,0.421076,0.001,8.53,False,5,ABBV,100
7,0.389392,0.419939,0.419939,0.001,8.59,True,0,ABBV,100
8,0.38668,0.423701,0.419939,0.001,8.6,False,1,ABBV,100
9,0.388171,0.421415,0.419939,0.001,8.94,False,2,ABBV,100
10,0.386903,0.420639,0.419939,0.001,8.66,False,3,ABBV,100
11,0.387428,0.421613,0.419939,0.001,8.86,False,4,ABBV,100
12,0.386007,0.420021,0.419939,0.001,8.98,False,5,ABBV,100
13,0.38629,0.421273,0.419939,0.001,8.53,False,6,ABBV,100
14,0.385152,0.422244,0.419939,0.0005,8.6,False,7,ABBV,100
