epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.410941,0.428022,0.428022,0.001,1.94,True,0,ABBV,42
2,0.396264,0.4298,0.428022,0.001,1.84,False,1,ABBV,42
3,0.393073,0.429264,0.428022,0.001,1.84,False,2,ABBV,42
4,0.389484,0.432251,0.428022,0.001,2.01,False,3,ABBV,42
5,0.389353,0.425477,0.425477,0.001,2.07,True,0,ABBV,42
6,0.389768,0.428039,0.425477,0.001,1.91,False,1,ABBV,42
7,0.388243,0.4242,0.4242,0.001,1.84,True,0,ABBV,42
8,0.387544,0.423202,0.423202,0.001,1.83,True,0,ABBV,42
9,0.387469,0.421707,0.421707,0.001,1.82,True,0,ABBV,42
10,0.386603,0.424545,0.421707,0.001,1.85,False,1,ABBV,42
11,0.385644,0.421402,0.421402,0.001,1.8,True,0,ABBV,42
12,0.384865,0.420826,0.420826,0.001,1.85,True,0,ABBV,42
13,0.383726,0.42077,0.42077,0.001,1.92,True,0,ABBV,42
14,0.380663,0.419054,0.419054,0.001,1.88,True,0,ABBV,42
15,0.379577,0.418876,0.418876,0.001,1.79,True,0,ABBV,42
16,0.376026,0.420954,0.418876,0.001,1.96,False,1,ABBV,42
17,0.372031,0.418505,0.418505,0.001,1.81,True,0,ABBV,42
18,0.369672,0.421268,0.418505,0.001,1.8,False,1,ABBV,42
19,0.367318,0.421186,0.418505,0.001,1.83,False,2,ABBV,42
20,0.361995,0.422445,0.418505,0.001,1.91,False,3,ABBV,42
21,0.363841,0.426502,0.418505,0.001,1.74,False,4,ABBV,42
22,0.361702,0.426051,0.418505,0.001,1.92,False,5,ABBV,42
23,0.357981,0.427671,0.418505,0.001,1.84,False,6,ABBV,42
24,0.357204,0.428022,0.418505,0.0005,1.84,False,7,ABBV,42
