epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.389602,0.471125,0.471125,0.001,6.88,True,0,ABBV,42
2,0.385369,0.471112,0.471112,0.001,6.11,True,0,ABBV,42
3,0.38819,0.470311,0.470311,0.001,6.46,True,0,ABBV,42
4,0.385359,0.47088,0.470311,0.001,6.24,False,1,ABBV,42
5,0.38705,0.4702,0.4702,0.001,6.29,True,0,ABBV,42
6,0.385126,0.470122,0.470122,0.001,6.33,True,0,ABBV,42
7,0.384331,0.470084,0.470084,0.001,6.37,True,0,ABBV,42
8,0.387325,0.470017,0.470017,0.001,6.08,True,0,ABBV,42
9,0.385985,0.470066,0.470017,0.001,6.19,False,1,ABBV,42
10,0.387149,0.470073,0.470017,0.001,6.8,False,2,ABBV,42
11,0.385433,0.470049,0.470017,0.001,6.27,False,3,ABBV,42
12,0.384113,0.469788,0.469788,0.001,6.24,True,0,ABBV,42
13,0.386027,0.467755,0.467755,0.001,6.37,True,0,ABBV,42
14,0.384112,0.468618,0.467755,0.001,6.41,False,1,ABBV,42
15,0.383697,0.467987,0.467755,0.001,6.24,False,2,ABBV,42
16,0.378929,0.476909,0.467755,0.001,6.2,False,3,ABBV,42
17,0.377079,0.485825,0.467755,0.001,6.53,False,4,ABBV,42
18,0.369218,0.485152,0.467755,0.001,6.59,False,5,ABBV,42
19,0.366493,0.496515,0.467755,0.001,6.64,False,6,ABBV,42
20,0.3589,0.505216,0.467755,0.0005,6.6,False,7,ABBV,42
