epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.390251,0.422095,0.422095,0.001,2.41,True,0,ABBV,100
2,0.386796,0.422437,0.422095,0.001,2.43,False,1,ABBV,100
3,0.385786,0.424252,0.422095,0.001,2.42,False,2,ABBV,100
4,0.386134,0.421326,0.421326,0.001,2.48,True,0,ABBV,100
5,0.38526,0.421348,0.421326,0.001,2.44,False,1,ABBV,100
6,0.385898,0.421462,0.421326,0.001,2.5,False,2,ABBV,100
7,0.385215,0.422842,0.421326,0.001,2.52,False,3,ABBV,100
8,0.384948,0.42129,0.42129,0.001,2.37,True,0,ABBV,100
9,0.385416,0.419865,0.419865,0.001,2.4,True,0,ABBV,100
10,0.385421,0.42077,0.419865,0.001,2.46,False,1,ABBV,100
11,0.385823,0.421594,0.419865,0.001,2.43,False,2,ABBV,100
12,0.385223,0.420946,0.419865,0.001,2.54,False,3,ABBV,100
13,0.384634,0.42087,0.419865,0.001,2.47,False,4,ABBV,100
14,0.385104,0.42153,0.419865,0.001,2.47,False,5,ABBV,100
15,0.38436,0.420236,0.419865,0.001,2.44,False,6,ABBV,100
16,0.384439,0.420568,0.419865,0.0005,2.44,False,7,ABBV,100
