epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.412575,0.352397,0.352397,0.001,8.56,True,0,AMZN,100
2,0.4022,0.35436,0.352397,0.001,8.18,False,1,AMZN,100
3,0.400958,0.350349,0.350349,0.001,8.42,True,0,AMZN,100
4,0.399466,0.351005,0.350349,0.001,8.07,False,1,AMZN,100
5,0.399505,0.350238,0.350238,0.001,8.16,True,0,AMZN,100
6,0.399204,0.349301,0.349301,0.001,8.0,True,0,AMZN,100
7,0.39866,0.349746,0.349301,0.001,7.89,False,1,AMZN,100
8,0.39854,0.349249,0.349249,0.001,8.17,True,0,AMZN,100
9,0.398998,0.349334,0.349249,0.001,8.57,False,1,AMZN,100
10,0.399575,0.349326,0.349249,0.001,7.81,False,2,AMZN,100
11,0.398248,0.349197,0.349197,0.001,8.13,True,0,AMZN,100
12,0.398701,0.349272,0.349197,0.001,8.55,False,1,AMZN,100
13,0.398634,0.349295,0.349197,0.001,8.6,False,2,AMZN,100
14,0.398533,0.349246,0.349197,0.001,8.71,False,3,AMZN,100
15,0.398123,0.349205,0.349197,0.001,8.49,False,4,AMZN,100
16,0.398354,0.349203,0.349197,0.001,8.94,False,5,AMZN,100
17,0.398373,0.349307,0.349197,0.001,8.48,False,6,AMZN,100
18,0.398082,0.349195,0.349195,0.0005,8.49,True,0,AMZN,100
19,0.398158,0.349194,0.349194,0.0005,8.47,True,0,AMZN,100
20,0.397837,0.349232,0.349194,0.0005,8.47,False,1,AMZN,100
21,0.398057,0.349199,0.349194,0.0005,8.18,False,2,AMZN,100
22,0.398031,0.349219,0.349194,0.0005,7.5,False,3,AMZN,100
23,0.399147,0.349275,0.349194,0.0005,7.85,False,4,AMZN,100
24,0.398492,0.349193,0.349193,0.00025,7.58,True,0,AMZN,100
25,0.398001,0.349202,0.349193,0.00025,7.6,False,1,AMZN,100
26,0.398719,0.349203,0.349193,0.00025,7.55,False,2,AMZN,100
27,0.398218,0.349198,0.349193,0.00025,7.57,False,3,AMZN,100
28,0.398245,0.3492,0.349193,0.00025,7.66,False,4,AMZN,100
29,0.398474,0.34921,0.349193,0.00025,7.86,False,5,AMZN,100
30,0.39885,0.349205,0.349193,0.000125,7.98,False,6,AMZN,100
31,0.397644,0.349194,0.349193,0.000125,19.35,False,7,AMZN,100
