epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.418583,0.360825,0.360825,0.001,1.71,True,0,AMZN,42
2,0.40819,0.360151,0.360151,0.001,1.74,True,0,AMZN,42
3,0.405387,0.361683,0.360151,0.001,1.86,False,1,AMZN,42
4,0.404418,0.356773,0.356773,0.001,1.76,True,0,AMZN,42
5,0.402697,0.356122,0.356122,0.001,1.75,True,0,AMZN,42
6,0.401504,0.356125,0.356122,0.001,1.86,False,1,AMZN,42
7,0.40188,0.358176,0.356122,0.001,1.77,False,2,AMZN,42
8,0.401475,0.356243,0.356122,0.001,1.87,False,3,AMZN,42
9,0.400759,0.353634,0.353634,0.001,1.75,True,0,AMZN,42
10,0.400367,0.353912,0.353634,0.001,1.9,False,1,AMZN,42
11,0.400458,0.352359,0.352359,0.001,1.81,True,0,AMZN,42
12,0.400453,0.35399,0.352359,0.001,1.82,False,1,AMZN,42
13,0.400323,0.353848,0.352359,0.001,1.86,False,2,AMZN,42
14,0.399568,0.353335,0.352359,0.001,1.97,False,3,AMZN,42
15,0.399213,0.350542,0.350542,0.001,1.81,True,0,AMZN,42
16,0.400004,0.352255,0.350542,0.001,1.72,False,1,AMZN,42
17,0.398971,0.352122,0.350542,0.001,1.82,False,2,AMZN,42
18,0.399377,0.352749,0.350542,0.001,1.66,False,3,AMZN,42
19,0.399332,0.352481,0.350542,0.001,2.17,False,4,AMZN,42
20,0.398768,0.35157,0.350542,0.001,1.8,False,5,AMZN,42
21,0.398481,0.351083,0.350542,0.001,2.34,False,6,AMZN,42
22,0.398944,0.350598,0.350542,0.0005,1.82,False,7,AMZN,42
