epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.400969,0.391734,0.391734,0.001,6.44,True,0,AMZN,42
2,0.399285,0.391448,0.391448,0.001,6.05,True,0,AMZN,42
3,0.400744,0.391337,0.391337,0.001,6.13,True,0,AMZN,42
4,0.399878,0.391663,0.391337,0.001,6.21,False,1,AMZN,42
5,0.401601,0.391218,0.391218,0.001,5.94,True,0,AMZN,42
6,0.398679,0.391034,0.391034,0.001,6.0,True,0,AMZN,42
7,0.398764,0.391047,0.391034,0.001,6.16,False,1,AMZN,42
8,0.401846,0.390951,0.390951,0.001,6.17,True,0,AMZN,42
9,0.400647,0.390924,0.390924,0.001,6.0,True,0,AMZN,42
10,0.404188,0.390909,0.390909,0.001,6.04,True,0,AMZN,42
11,0.400261,0.39102,0.390909,0.001,6.13,False,1,AMZN,42
12,0.397918,0.39101,0.390909,0.001,5.89,False,2,AMZN,42
13,0.399406,0.390896,0.390896,0.001,6.14,True,0,AMZN,42
14,0.400275,0.39091,0.390896,0.001,6.03,False,1,AMZN,42
15,0.39943,0.390912,0.390896,0.001,5.97,False,2,AMZN,42
16,0.39802,0.390943,0.390896,0.001,5.74,False,3,AMZN,42
17,0.399407,0.390907,0.390896,0.0005,6.08,False,4,AMZN,42
18,0.401632,0.390939,0.390896,0.0005,6.4,False,5,AMZN,42
19,0.400761,0.390952,0.390896,0.0005,6.09,False,6,AMZN,42
20,0.397257,0.390983,0.390896,0.0005,6.65,False,7,AMZN,42
