epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.404895,0.357163,0.357163,0.001,2.38,True,0,AMZN,42
2,0.40121,0.356545,0.356545,0.001,2.24,True,0,AMZN,42
3,0.401139,0.363167,0.356545,0.001,2.48,False,1,AMZN,42
4,0.400292,0.352503,0.352503,0.001,2.33,True,0,AMZN,42
5,0.400023,0.352694,0.352503,0.001,2.36,False,1,AMZN,42
6,0.399039,0.352166,0.352166,0.001,2.31,True,0,AMZN,42
7,0.400249,0.35099,0.35099,0.001,2.34,True,0,AMZN,42
8,0.399162,0.352264,0.35099,0.001,2.36,False,1,AMZN,42
9,0.399917,0.352288,0.35099,0.001,2.36,False,2,AMZN,42
10,0.399024,0.351084,0.35099,0.001,2.39,False,3,AMZN,42
11,0.399955,0.352161,0.35099,0.001,2.4,False,4,AMZN,42
12,0.399167,0.352455,0.35099,0.001,2.4,False,5,AMZN,42
13,0.399609,0.351988,0.35099,0.001,2.28,False,6,AMZN,42
14,0.398563,0.353728,0.35099,0.0005,2.41,False,7,AMZN,42
