epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.412614,0.287623,0.287623,0.001,8.26,True,0,BAC,100
2,0.399811,0.296054,0.287623,0.001,8.71,False,1,BAC,100
3,0.398516,0.290628,0.287623,0.001,8.29,False,2,BAC,100
4,0.397557,0.288177,0.287623,0.001,8.0,False,3,BAC,100
5,0.396009,0.28901,0.287623,0.001,8.2,False,4,BAC,100
6,0.396188,0.287378,0.287378,0.001,8.12,True,0,BAC,100
7,0.396009,0.287765,0.287378,0.001,8.4,False,1,BAC,100
8,0.395812,0.290138,0.287378,0.001,8.19,False,2,BAC,100
9,0.396097,0.288861,0.287378,0.001,8.69,False,3,BAC,100
10,0.395729,0.288217,0.287378,0.001,8.34,False,4,BAC,100
11,0.395245,0.28689,0.28689,0.001,8.31,True,0,BAC,100
12,0.395412,0.28738,0.28689,0.001,8.21,False,1,BAC,100
13,0.396236,0.287797,0.28689,0.001,8.19,False,2,BAC,100
14,0.394634,0.287142,0.28689,0.001,8.13,False,3,BAC,100
15,0.394207,0.288551,0.28689,0.001,8.37,False,4,BAC,100
16,0.395257,0.287669,0.28689,0.001,8.22,False,5,BAC,100
17,0.394967,0.286961,0.28689,0.001,8.72,False,6,BAC,100
18,0.394775,0.287441,0.28689,0.0005,8.09,False,7,BAC,100
