epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.420993,0.29278,0.29278,0.001,1.95,True,0,BAC,42
2,0.405465,0.298845,0.29278,0.001,1.82,False,1,BAC,42
3,0.39946,0.288137,0.288137,0.001,1.71,True,0,BAC,42
4,0.398586,0.291285,0.288137,0.001,1.72,False,1,BAC,42
5,0.396511,0.289562,0.288137,0.001,1.72,False,2,BAC,42
6,0.394974,0.289034,0.288137,0.001,1.8,False,3,BAC,42
7,0.394857,0.286896,0.286896,0.001,1.71,True,0,BAC,42
8,0.39452,0.286854,0.286854,0.001,1.78,True,0,BAC,42
9,0.395489,0.286919,0.286854,0.001,1.68,False,1,BAC,42
10,0.395174,0.28706,0.286854,0.001,1.73,False,2,BAC,42
11,0.395205,0.287609,0.286854,0.001,1.69,False,3,BAC,42
12,0.394427,0.289531,0.286854,0.001,1.7,False,4,BAC,42
13,0.393771,0.304491,0.286854,0.001,1.9,False,5,BAC,42
14,0.394686,0.307976,0.286854,0.001,1.66,False,6,BAC,42
15,0.394149,0.311697,0.286854,0.0005,1.78,False,7,BAC,42
