epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.39845,0.316171,0.316171,0.001,5.75,True,0,BAC,42
2,0.398018,0.315723,0.315723,0.001,6.26,True,0,BAC,42
3,0.394648,0.314537,0.314537,0.001,5.8,True,0,BAC,42
4,0.394916,0.314387,0.314387,0.001,5.83,True,0,BAC,42
5,0.402114,0.313772,0.313772,0.001,6.28,True,0,BAC,42
6,0.394749,0.314125,0.313772,0.001,5.82,False,1,BAC,42
7,0.396715,0.31411,0.313772,0.001,5.95,False,2,BAC,42
8,0.396895,0.313741,0.313741,0.001,5.94,True,0,BAC,42
9,0.394674,0.31558,0.313741,0.001,6.03,False,1,BAC,42
10,0.394776,0.325478,0.313741,0.001,6.23,False,2,BAC,42
11,0.395389,0.329938,0.313741,0.001,5.82,False,3,BAC,42
12,0.39426,0.322834,0.313741,0.0005,5.95,False,4,BAC,42
13,0.398714,0.325021,0.313741,0.0005,6.12,False,5,BAC,42
14,0.395199,0.360629,0.313741,0.0005,6.0,False,6,BAC,42
15,0.395004,0.493656,0.313741,0.0005,6.37,False,7,BAC,42
