epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.400432,0.311827,0.311827,0.001,2.22,True,0,BAC,42
2,0.397645,0.300835,0.300835,0.001,2.26,True,0,BAC,42
3,0.397311,0.292247,0.292247,0.001,2.24,True,0,BAC,42
4,0.395948,0.293661,0.292247,0.001,2.46,False,1,BAC,42
5,0.396131,0.289873,0.289873,0.001,2.25,True,0,BAC,42
6,0.39537,0.296706,0.289873,0.001,2.29,False,1,BAC,42
7,0.395611,0.290858,0.289873,0.001,2.23,False,2,BAC,42
8,0.39559,0.290372,0.289873,0.001,2.26,False,3,BAC,42
9,0.395635,0.294458,0.289873,0.001,2.3,False,4,BAC,42
10,0.395159,0.291976,0.289873,0.001,2.21,False,5,BAC,42
11,0.395126,0.291716,0.289873,0.001,2.55,False,6,BAC,42
12,0.39503,0.290509,0.289873,0.0005,2.33,False,7,BAC,42
