epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.410806,0.445902,0.445902,0.001,7.62,True,0,COST,100
2,0.400046,0.434379,0.434379,0.001,7.98,True,0,COST,100
3,0.396834,0.432628,0.432628,0.001,7.85,True,0,COST,100
4,0.396369,0.42979,0.42979,0.001,8.08,True,0,COST,100
5,0.395652,0.442263,0.42979,0.001,7.74,False,1,COST,100
6,0.395711,0.434645,0.42979,0.001,7.62,False,2,COST,100
7,0.395463,0.431171,0.42979,0.001,7.81,False,3,COST,100
8,0.393856,0.436973,0.42979,0.001,7.89,False,4,COST,100
9,0.394718,0.432966,0.42979,0.001,7.68,False,5,COST,100
10,0.394204,0.430735,0.42979,0.001,7.86,False,6,COST,100
11,0.393405,0.432452,0.42979,0.0005,7.71,False,7,COST,100
