epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.417211,0.446316,0.446316,0.001,1.81,True,0,COST,42
2,0.402449,0.446878,0.446316,0.001,1.76,False,1,COST,42
3,0.398833,0.437579,0.437579,0.001,1.75,True,0,COST,42
4,0.397309,0.438503,0.437579,0.001,1.69,False,1,COST,42
5,0.397222,0.441885,0.437579,0.001,1.55,False,2,COST,42
6,0.395255,0.442756,0.437579,0.001,1.65,False,3,COST,42
7,0.394457,0.438226,0.437579,0.001,1.6,False,4,COST,42
8,0.39444,0.437532,0.437532,0.001,1.61,True,0,COST,42
9,0.394135,0.444935,0.437532,0.001,1.62,False,1,COST,42
10,0.393267,0.452221,0.437532,0.001,1.59,False,2,COST,42
11,0.393636,0.443622,0.437532,0.001,1.69,False,3,COST,42
12,0.392119,0.446257,0.437532,0.001,1.56,False,4,COST,42
13,0.392086,0.438235,0.437532,0.001,1.67,False,5,COST,42
14,0.392277,0.444885,0.437532,0.001,1.62,False,6,COST,42
15,0.389433,0.449609,0.437532,0.0005,1.65,False,7,COST,42
