epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.397823,0.413385,0.413385,0.001,6.08,True,0,COST,100
2,0.393235,0.412374,0.412374,0.001,5.76,True,0,COST,100
3,0.395028,0.411793,0.411793,0.001,5.41,True,0,COST,100
4,0.392971,0.411372,0.411372,0.001,5.48,True,0,COST,100
5,0.398659,0.411214,0.411214,0.001,5.49,True,0,COST,100
6,0.395283,0.41087,0.41087,0.001,5.53,True,0,COST,100
7,0.395641,0.410655,0.410655,0.001,5.68,True,0,COST,100
8,0.39414,0.410863,0.410655,0.001,5.59,False,1,COST,100
9,0.393347,0.410841,0.410655,0.001,5.63,False,2,COST,100
10,0.397591,0.41066,0.410655,0.001,5.65,False,3,COST,100
11,0.391736,0.410649,0.410649,0.001,5.53,True,0,COST,100
12,0.39328,0.410736,0.410649,0.001,6.27,False,1,COST,100
13,0.393881,0.410824,0.410649,0.001,5.75,False,2,COST,100
14,0.391553,0.410657,0.410649,0.0005,5.58,False,3,COST,100
15,0.392853,0.410586,0.410586,0.0005,5.49,True,0,COST,100
16,0.393271,0.410648,0.410586,0.0005,5.58,False,1,COST,100
17,0.395617,0.410554,0.410554,0.0005,5.39,True,0,COST,100
18,0.394937,0.410579,0.410554,0.0005,5.55,False,1,COST,100
19,0.393869,0.410551,0.410551,0.0005,5.68,True,0,COST,100
20,0.39262,0.410656,0.410551,0.0005,5.6,False,1,COST,100
21,0.393506,0.410967,0.410551,0.0005,5.59,False,2,COST,100
22,0.394591,0.410706,0.410551,0.00025,5.8,False,3,COST,100
23,0.393502,0.410868,0.410551,0.00025,5.86,False,4,COST,100
24,0.394249,0.411049,0.410551,0.00025,5.6,False,5,COST,100
25,0.393115,0.411066,0.410551,0.00025,5.56,False,6,COST,100
26,0.392063,0.41104,0.410551,0.00025,5.48,False,7,COST,100
