epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.400505,0.439983,0.439983,0.001,2.06,True,0,COST,100
2,0.395741,0.440305,0.439983,0.001,2.34,False,1,COST,100
3,0.394188,0.432609,0.432609,0.001,2.31,True,0,COST,100
4,0.394564,0.433964,0.432609,0.001,2.09,False,1,COST,100
5,0.394285,0.436085,0.432609,0.001,2.12,False,2,COST,100
6,0.394155,0.433949,0.432609,0.001,2.07,False,3,COST,100
7,0.393526,0.435096,0.432609,0.001,2.19,False,4,COST,100
8,0.393215,0.430562,0.430562,0.001,2.1,True,0,COST,100
9,0.393664,0.434298,0.430562,0.001,2.2,False,1,COST,100
10,0.394222,0.438917,0.430562,0.001,2.07,False,2,COST,100
11,0.393578,0.433709,0.430562,0.001,2.23,False,3,COST,100
12,0.393388,0.431626,0.430562,0.001,2.14,False,4,COST,100
13,0.393103,0.43433,0.430562,0.001,2.21,False,5,COST,100
14,0.3928,0.431604,0.430562,0.001,2.14,False,6,COST,100
15,0.392919,0.431626,0.430562,0.0005,2.16,False,7,COST,100
