epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.413314,0.417966,0.417966,0.001,25.46,True,0,GOOGL,100
2,0.405526,0.424469,0.417966,0.001,25.68,False,1,GOOGL,100
3,0.402532,0.419249,0.417966,0.001,24.87,False,2,GOOGL,100
4,0.402123,0.41933,0.417966,0.001,25.36,False,3,GOOGL,100
5,0.401204,0.413656,0.413656,0.001,25.56,True,0,GOOGL,100
6,0.400629,0.411701,0.411701,0.001,24.89,True,0,GOOGL,100
7,0.399982,0.4117,0.4117,0.001,26.36,True,0,GOOGL,100
8,0.399412,0.414492,0.4117,0.001,25.52,False,1,GOOGL,100
9,0.399256,0.413435,0.4117,0.001,26.05,False,2,GOOGL,100
10,0.400071,0.413897,0.4117,0.001,9.7,False,3,GOOGL,100
11,0.3988,0.413472,0.4117,0.001,9.14,False,4,GOOGL,100
12,0.398768,0.411643,0.411643,0.001,8.62,True,0,GOOGL,100
13,0.398288,0.412207,0.411643,0.001,8.81,False,1,GOOGL,100
14,0.398097,0.413081,0.411643,0.001,9.02,False,2,GOOGL,100
15,0.397757,0.411261,0.411261,0.001,8.84,True,0,GOOGL,100
16,0.398354,0.412606,0.411261,0.001,8.5,False,1,GOOGL,100
17,0.397243,0.411532,0.411261,0.001,8.66,False,2,GOOGL,100
18,0.39802,0.411786,0.411261,0.001,9.98,False,3,GOOGL,100
19,0.397153,0.411677,0.411261,0.001,8.67,False,4,GOOGL,100
20,0.396876,0.411346,0.411261,0.001,9.01,False,5,GOOGL,100
21,0.397298,0.411474,0.411261,0.001,9.04,False,6,GOOGL,100
22,0.396882,0.411541,0.411261,0.0005,8.84,False,7,GOOGL,100
