epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.427896,0.412613,0.412613,0.001,3.59,True,0,GOOGL,42
2,0.40672,0.41416,0.412613,0.001,1.93,False,1,GOOGL,42
3,0.40316,0.413825,0.412613,0.001,1.72,False,2,GOOGL,42
4,0.399933,0.41647,0.412613,0.001,1.7,False,3,GOOGL,42
5,0.400557,0.412466,0.412466,0.001,1.63,True,0,GOOGL,42
6,0.400042,0.417369,0.412466,0.001,3.2,False,1,GOOGL,42
7,0.398649,0.413706,0.412466,0.001,1.68,False,2,GOOGL,42
8,0.397307,0.416733,0.412466,0.001,1.66,False,3,GOOGL,42
9,0.395397,0.413041,0.412466,0.001,1.86,False,4,GOOGL,42
10,0.395968,0.412452,0.412452,0.001,2.07,True,0,GOOGL,42
11,0.394036,0.413692,0.412452,0.001,2.06,False,1,GOOGL,42
12,0.393247,0.413633,0.412452,0.0005,3.57,False,2,GOOGL,42
13,0.39031,0.413951,0.412452,0.0005,1.93,False,3,GOOGL,42
14,0.38928,0.414438,0.412452,0.0005,1.71,False,4,GOOGL,42
15,0.388777,0.414279,0.412452,0.0005,1.7,False,5,GOOGL,42
16,0.386806,0.417726,0.412452,0.0005,1.86,False,6,GOOGL,42
17,0.386607,0.414082,0.412452,0.0005,2.01,False,7,GOOGL,42
