epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.400815,0.435804,0.435804,0.001,18.72,True,0,GOOGL,42
2,0.399133,0.435679,0.435679,0.001,18.8,True,0,GOOGL,42
3,0.398538,0.435235,0.435235,0.001,19.07,True,0,GOOGL,42
4,0.397422,0.434942,0.434942,0.001,18.88,True,0,GOOGL,42
5,0.399118,0.43446,0.43446,0.001,18.31,True,0,GOOGL,42
6,0.398215,0.434059,0.434059,0.001,18.35,True,0,GOOGL,42
7,0.397973,0.433944,0.433944,0.001,18.95,True,0,GOOGL,42
8,0.401552,0.433862,0.433862,0.001,19.19,True,0,GOOGL,42
9,0.3994,0.434008,0.433862,0.001,18.92,False,1,GOOGL,42
10,0.400117,0.435144,0.433862,0.001,18.71,False,2,GOOGL,42
11,0.400366,0.438486,0.433862,0.001,18.95,False,3,GOOGL,42
12,0.396171,0.463454,0.433862,0.001,19.16,False,4,GOOGL,42
13,0.39736,0.468441,0.433862,0.001,18.69,False,5,GOOGL,42
14,0.397753,0.461583,0.433862,0.001,19.11,False,6,GOOGL,42
15,0.396633,0.466933,0.433862,0.0005,18.06,False,7,GOOGL,42
