epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.401633,0.415357,0.415357,0.001,2.23,True,0,GOOGL,42
2,0.398143,0.413876,0.413876,0.001,3.32,True,0,GOOGL,42
3,0.398217,0.412953,0.412953,0.001,3.2,True,0,GOOGL,42
4,0.397478,0.412943,0.412943,0.001,2.29,True,0,GOOGL,42
5,0.396955,0.411732,0.411732,0.001,2.28,True,0,GOOGL,42
6,0.39731,0.411706,0.411706,0.001,2.35,True,0,GOOGL,42
7,0.397508,0.411624,0.411624,0.001,2.32,True,0,GOOGL,42
8,0.396683,0.41148,0.41148,0.001,2.35,True,0,GOOGL,42
9,0.396784,0.411485,0.41148,0.001,2.59,False,1,GOOGL,42
10,0.396264,0.411557,0.41148,0.001,2.2,False,2,GOOGL,42
11,0.397728,0.411347,0.411347,0.001,2.38,True,0,GOOGL,42
12,0.396563,0.411246,0.411246,0.001,2.34,True,0,GOOGL,42
13,0.397362,0.411222,0.411222,0.001,2.27,True,0,GOOGL,42
14,0.396762,0.411262,0.411222,0.001,2.31,False,1,GOOGL,42
15,0.39683,0.411224,0.411222,0.001,2.41,False,2,GOOGL,42
16,0.397344,0.411119,0.411119,0.001,2.44,True,0,GOOGL,42
17,0.396508,0.411118,0.411118,0.001,2.22,True,0,GOOGL,42
18,0.396768,0.411129,0.411118,0.001,2.39,False,1,GOOGL,42
19,0.39767,0.411119,0.411118,0.001,2.27,False,2,GOOGL,42
20,0.396987,0.411213,0.411118,0.001,2.32,False,3,GOOGL,42
21,0.396349,0.411084,0.411084,0.001,2.24,True,0,GOOGL,42
22,0.397223,0.411137,0.411084,0.001,2.27,False,1,GOOGL,42
23,0.397357,0.411047,0.411047,0.0005,2.17,True,0,GOOGL,42
24,0.396366,0.411097,0.411047,0.0005,2.39,False,1,GOOGL,42
25,0.396934,0.411018,0.411018,0.0005,2.15,True,0,GOOGL,42
26,0.396656,0.411105,0.411018,0.0005,2.21,False,1,GOOGL,42
27,0.396605,0.411086,0.411018,0.0005,2.22,False,2,GOOGL,42
28,0.396782,0.410987,0.410987,0.0005,2.14,True,0,GOOGL,42
29,0.397188,0.411091,0.410987,0.0005,2.28,False,1,GOOGL,42
30,0.396846,0.411111,0.410987,0.0005,2.16,False,2,GOOGL,42
31,0.397765,0.410989,0.410987,0.0005,2.22,False,3,GOOGL,42
32,0.396922,0.411021,0.410987,0.0005,2.23,False,4,GOOGL,42
33,0.396566,0.410997,0.410987,0.0005,2.19,False,5,GOOGL,42
34,0.397435,0.41099,0.410987,0.0005,2.19,False,6,GOOGL,42
35,0.397377,0.410957,0.410957,0.00025,2.3,True,0,GOOGL,42
36,0.397458,0.410961,0.410957,0.00025,2.19,False,1,GOOGL,42
37,0.396548,0.411009,0.410957,0.00025,2.21,False,2,GOOGL,42
38,0.397009,0.411019,0.410957,0.00025,2.27,False,3,GOOGL,42
39,0.397111,0.411075,0.410957,0.00025,2.31,False,4,GOOGL,42
40,0.396999,0.410933,0.410933,0.00025,2.2,True,0,GOOGL,42
41,0.396971,0.410937,0.410933,0.00025,2.19,False,1,GOOGL,42
42,0.396493,0.410998,0.410933,0.00025,2.14,False,2,GOOGL,42
43,0.396858,0.410927,0.410927,0.00025,2.26,True,0,GOOGL,42
44,0.39656,0.410928,0.410927,0.00025,2.22,False,1,GOOGL,42
45,0.396371,0.410991,0.410927,0.00025,2.2,False,2,GOOGL,42
46,0.396574,0.411247,0.410927,0.00025,2.18,False,3,GOOGL,42
47,0.39681,0.411163,0.410927,0.000125,2.26,False,4,GOOGL,42
48,0.397407,0.411126,0.410927,0.000125,2.24,False,5,GOOGL,42
49,0.396586,0.411223,0.410927,0.000125,2.33,False,6,GOOGL,42
50,0.396805,0.411175,0.410927,0.000125,2.34,False,7,GOOGL,42
