epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.397854,0.422118,0.422118,0.001,8.58,True,0,IBM,100
2,0.387343,0.422665,0.422118,0.001,8.83,False,1,IBM,100
3,0.385374,0.426,0.422118,0.001,8.44,False,2,IBM,100
4,0.384526,0.416802,0.416802,0.001,9.11,True,0,IBM,100
5,0.383495,0.416715,0.416715,0.001,8.77,True,0,IBM,100
6,0.382738,0.416956,0.416715,0.001,8.71,False,1,IBM,100
7,0.382171,0.418014,0.416715,0.001,8.82,False,2,IBM,100
8,0.381676,0.419814,0.416715,0.001,8.9,False,3,IBM,100
9,0.382301,0.419954,0.416715,0.001,8.91,False,4,IBM,100
10,0.381969,0.416815,0.416715,0.001,9.01,False,5,IBM,100
11,0.381804,0.418033,0.416715,0.001,9.42,False,6,IBM,100
12,0.381502,0.417315,0.416715,0.0005,8.96,False,7,IBM,100
