epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.417568,0.426071,0.426071,0.001,2.08,True,0,IBM,42
2,0.393734,0.421583,0.421583,0.001,1.85,True,0,IBM,42
3,0.389014,0.425026,0.421583,0.001,1.83,False,1,IBM,42
4,0.38573,0.421621,0.421583,0.001,1.87,False,2,IBM,42
5,0.385075,0.420223,0.420223,0.001,1.81,True,0,IBM,42
6,0.383685,0.420137,0.420137,0.001,1.81,True,0,IBM,42
7,0.383077,0.419778,0.419778,0.001,1.72,True,0,IBM,42
8,0.381437,0.419484,0.419484,0.001,2.1,True,0,IBM,42
9,0.382316,0.417904,0.417904,0.001,1.98,True,0,IBM,42
10,0.379451,0.417817,0.417817,0.001,2.1,True,0,IBM,42
11,0.378145,0.418138,0.417817,0.001,1.86,False,1,IBM,42
12,0.373777,0.417158,0.417158,0.001,1.89,True,0,IBM,42
13,0.372411,0.417611,0.417158,0.001,1.94,False,1,IBM,42
14,0.366518,0.416762,0.416762,0.001,1.97,True,0,IBM,42
15,0.36391,0.416361,0.416361,0.001,1.84,True,0,IBM,42
16,0.357834,0.41674,0.416361,0.001,1.93,False,1,IBM,42
17,0.358081,0.415623,0.415623,0.001,1.83,True,0,IBM,42
18,0.345889,0.415219,0.415219,0.001,1.84,True,0,IBM,42
19,0.342205,0.415518,0.415219,0.001,1.87,False,1,IBM,42
20,0.340455,0.415098,0.415098,0.001,1.86,True,0,IBM,42
21,0.338982,0.414702,0.414702,0.001,1.98,True,0,IBM,42
22,0.337989,0.41527,0.414702,0.001,1.93,False,1,IBM,42
23,0.331078,0.415157,0.414702,0.001,1.94,False,2,IBM,42
24,0.334454,0.415186,0.414702,0.001,2.03,False,3,IBM,42
25,0.326839,0.415364,0.414702,0.001,1.94,False,4,IBM,42
26,0.328541,0.41502,0.414702,0.001,1.83,False,5,IBM,42
27,0.325167,0.415144,0.414702,0.001,1.9,False,6,IBM,42
28,0.31907,0.415456,0.414702,0.0005,1.89,False,7,IBM,42
