epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.384805,0.421504,0.421504,0.001,2.39,True,0,IBM,100
2,0.383728,0.420832,0.420832,0.001,2.31,True,0,IBM,100
3,0.382619,0.419378,0.419378,0.001,2.42,True,0,IBM,100
4,0.382116,0.419534,0.419378,0.001,2.32,False,1,IBM,100
5,0.382339,0.422208,0.419378,0.001,2.47,False,2,IBM,100
6,0.382368,0.418772,0.418772,0.001,2.3,True,0,IBM,100
7,0.381597,0.417689,0.417689,0.001,2.35,True,0,IBM,100
8,0.381427,0.421623,0.417689,0.001,2.45,False,1,IBM,100
9,0.381633,0.418354,0.417689,0.001,2.37,False,2,IBM,100
10,0.382411,0.418636,0.417689,0.001,2.53,False,3,IBM,100
11,0.381947,0.417813,0.417689,0.001,2.45,False,4,IBM,100
12,0.381493,0.417017,0.417017,0.001,2.44,True,0,IBM,100
13,0.381109,0.417352,0.417017,0.001,2.31,False,1,IBM,100
14,0.381185,0.417352,0.417017,0.001,2.33,False,2,IBM,100
15,0.381753,0.417399,0.417017,0.001,2.31,False,3,IBM,100
16,0.381371,0.418568,0.417017,0.001,2.41,False,4,IBM,100
17,0.381382,0.422484,0.417017,0.001,2.69,False,5,IBM,100
18,0.381404,0.416991,0.416991,0.001,2.39,True,0,IBM,100
19,0.380813,0.416914,0.416914,0.0005,2.34,True,0,IBM,100
20,0.380899,0.416762,0.416762,0.0005,2.37,True,0,IBM,100
21,0.38121,0.416885,0.416762,0.0005,2.42,False,1,IBM,100
22,0.381628,0.416859,0.416762,0.0005,2.39,False,2,IBM,100
23,0.381628,0.417094,0.416762,0.0005,2.41,False,3,IBM,100
24,0.381704,0.417373,0.416762,0.0005,2.3,False,4,IBM,100
25,0.381454,0.417342,0.416762,0.0005,2.33,False,5,IBM,100
26,0.38117,0.417796,0.416762,0.0005,2.36,False,6,IBM,100
27,0.381019,0.417559,0.416762,0.00025,2.37,False,7,IBM,100
