epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.411974,0.799477,0.799477,0.001,8.96,True,0,INTC,100
2,0.401785,0.802765,0.799477,0.001,8.25,False,1,INTC,100
3,0.399517,0.798167,0.798167,0.001,8.32,True,0,INTC,100
4,0.396656,0.804827,0.798167,0.001,8.21,False,1,INTC,100
5,0.398868,0.803656,0.798167,0.001,8.1,False,2,INTC,100
6,0.397665,0.799721,0.798167,0.001,8.35,False,3,INTC,100
7,0.395704,0.797196,0.797196,0.001,8.1,True,0,INTC,100
8,0.396546,0.802935,0.797196,0.001,8.88,False,1,INTC,100
9,0.395588,0.798208,0.797196,0.001,8.14,False,2,INTC,100
10,0.395709,0.801047,0.797196,0.001,8.08,False,3,INTC,100
11,0.395389,0.797541,0.797196,0.001,8.1,False,4,INTC,100
12,0.394507,0.798619,0.797196,0.001,8.16,False,5,INTC,100
13,0.394899,0.797285,0.797196,0.001,8.16,False,6,INTC,100
14,0.393604,0.798463,0.797196,0.0005,8.14,False,7,INTC,100
