epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.423894,0.805571,0.805571,0.001,1.77,True,0,INTC,42
2,0.404567,0.805135,0.805135,0.001,1.78,True,0,INTC,42
3,0.40147,0.810362,0.805135,0.001,1.87,False,1,INTC,42
4,0.397356,0.800805,0.800805,0.001,1.72,True,0,INTC,42
5,0.394833,0.801203,0.800805,0.001,1.75,False,1,INTC,42
6,0.393918,0.802572,0.800805,0.001,1.87,False,2,INTC,42
7,0.391752,0.805983,0.800805,0.001,1.75,False,3,INTC,42
8,0.391302,0.807713,0.800805,0.001,1.88,False,4,INTC,42
9,0.38741,0.815046,0.800805,0.001,1.7,False,5,INTC,42
10,0.384673,0.814343,0.800805,0.001,1.75,False,6,INTC,42
11,0.381101,0.818348,0.800805,0.0005,1.7,False,7,INTC,42
