epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.398059,0.836261,0.836261,0.001,5.91,True,0,INTC,42
2,0.39513,0.836069,0.836069,0.001,6.4,True,0,INTC,42
3,0.393813,0.836022,0.836022,0.001,5.98,True,0,INTC,42
4,0.394617,0.835651,0.835651,0.001,5.82,True,0,INTC,42
5,0.395364,0.835751,0.835651,0.001,5.83,False,1,INTC,42
6,0.393767,0.835706,0.835651,0.001,6.14,False,2,INTC,42
7,0.39398,0.835549,0.835549,0.001,5.94,True,0,INTC,42
8,0.394788,0.835518,0.835518,0.001,6.14,True,0,INTC,42
9,0.394362,0.835488,0.835488,0.001,6.15,True,0,INTC,42
10,0.395518,0.835487,0.835487,0.001,5.82,True,0,INTC,42
11,0.395151,0.835452,0.835452,0.001,5.95,True,0,INTC,42
12,0.393542,0.835472,0.835452,0.001,6.75,False,1,INTC,42
13,0.393332,0.835437,0.835437,0.001,5.78,True,0,INTC,42
14,0.393291,0.835478,0.835437,0.001,6.02,False,1,INTC,42
15,0.395587,0.83544,0.835437,0.001,5.97,False,2,INTC,42
16,0.39306,0.835459,0.835437,0.001,6.07,False,3,INTC,42
17,0.393117,0.835424,0.835424,0.001,5.91,True,0,INTC,42
18,0.393988,0.835472,0.835424,0.0005,6.09,False,1,INTC,42
19,0.395613,0.835422,0.835422,0.0005,6.12,True,0,INTC,42
20,0.392351,0.835444,0.835422,0.0005,5.94,False,1,INTC,42
21,0.394409,0.83546,0.835422,0.0005,5.97,False,2,INTC,42
22,0.392459,0.835536,0.835422,0.0005,6.4,False,3,INTC,42
23,0.396366,0.835532,0.835422,0.0005,5.87,False,4,INTC,42
24,0.394677,0.835588,0.835422,0.00025,6.11,False,5,INTC,42
25,0.395464,0.835603,0.835422,0.00025,6.1,False,6,INTC,42
26,0.396918,0.835676,0.835422,0.00025,5.88,False,7,INTC,42
