epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.398453,0.798866,0.798866,0.001,2.26,True,0,INTC,100
2,0.396698,0.802361,0.798866,0.001,2.28,False,1,INTC,100
3,0.395487,0.799731,0.798866,0.001,2.3,False,2,INTC,100
4,0.395029,0.80094,0.798866,0.001,2.24,False,3,INTC,100
5,0.39494,0.798772,0.798772,0.001,2.33,True,0,INTC,100
6,0.39558,0.801707,0.798772,0.001,2.37,False,1,INTC,100
7,0.39424,0.79932,0.798772,0.001,2.34,False,2,INTC,100
8,0.393908,0.802423,0.798772,0.001,2.27,False,3,INTC,100
9,0.394024,0.798361,0.798361,0.001,2.2,True,0,INTC,100
10,0.394489,0.798537,0.798361,0.001,2.26,False,1,INTC,100
11,0.393935,0.797474,0.797474,0.001,2.24,True,0,INTC,100
12,0.393516,0.797557,0.797474,0.001,2.29,False,1,INTC,100
13,0.393359,0.797492,0.797474,0.001,2.27,False,2,INTC,100
14,0.394125,0.797645,0.797474,0.001,2.31,False,3,INTC,100
15,0.3932,0.797949,0.797474,0.001,2.28,False,4,INTC,100
16,0.393601,0.79798,0.797474,0.001,2.28,False,5,INTC,100
17,0.39374,0.797392,0.797392,0.001,2.24,True,0,INTC,100
18,0.393473,0.797343,0.797343,0.001,2.3,True,0,INTC,100
19,0.3932,0.79743,0.797343,0.001,2.23,False,1,INTC,100
20,0.393223,0.798025,0.797343,0.001,2.38,False,2,INTC,100
21,0.393938,0.79761,0.797343,0.001,2.18,False,3,INTC,100
22,0.392838,0.797123,0.797123,0.001,2.3,True,0,INTC,100
23,0.393221,0.797134,0.797123,0.001,2.3,False,1,INTC,100
24,0.393049,0.797197,0.797123,0.001,2.28,False,2,INTC,100
25,0.393746,0.798064,0.797123,0.001,2.31,False,3,INTC,100
26,0.393032,0.797091,0.797091,0.001,2.33,True,0,INTC,100
27,0.39273,0.79814,0.797091,0.001,2.29,False,1,INTC,100
28,0.393424,0.796996,0.796996,0.001,2.26,True,0,INTC,100
29,0.393258,0.797162,0.796996,0.001,2.47,False,1,INTC,100
30,0.393181,0.797315,0.796996,0.001,2.43,False,2,INTC,100
31,0.392895,0.797234,0.796996,0.001,2.27,False,3,INTC,100
32,0.393327,0.796964,0.796964,0.001,2.31,True,0,INTC,100
33,0.392655,0.797154,0.796964,0.001,2.35,False,1,INTC,100
34,0.392727,0.797235,0.796964,0.001,2.32,False,2,INTC,100
35,0.392523,0.79707,0.796964,0.0005,2.26,False,3,INTC,100
36,0.392004,0.797124,0.796964,0.0005,2.31,False,4,INTC,100
37,0.392132,0.796943,0.796943,0.0005,2.27,True,0,INTC,100
38,0.391784,0.797121,0.796943,0.0005,2.38,False,1,INTC,100
39,0.392469,0.79694,0.79694,0.0005,2.22,True,0,INTC,100
40,0.391599,0.796957,0.79694,0.0005,2.3,False,1,INTC,100
41,0.39231,0.796969,0.79694,0.00025,2.21,False,2,INTC,100
42,0.391806,0.796914,0.796914,0.00025,2.34,True,0,INTC,100
43,0.391816,0.796941,0.796914,0.00025,2.28,False,1,INTC,100
44,0.392046,0.796906,0.796906,0.00025,2.28,True,0,INTC,100
45,0.391893,0.796914,0.796906,0.00025,2.27,False,1,INTC,100
46,0.391228,0.796917,0.796906,0.00025,2.45,False,2,INTC,100
47,0.391566,0.796922,0.796906,0.00025,2.27,False,3,INTC,100
48,0.391607,0.796916,0.796906,0.00025,2.32,False,4,INTC,100
49,0.391597,0.796912,0.796906,0.000125,2.24,False,5,INTC,100
50,0.391695,0.79693,0.796906,0.000125,2.35,False,6,INTC,100
51,0.391746,0.796919,0.796906,0.000125,2.24,False,7,INTC,100
