epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.40174,0.412929,0.412929,0.001,8.75,True,0,JNJ,100
2,0.392824,0.430532,0.412929,0.001,8.58,False,1,JNJ,100
3,0.389143,0.412126,0.412126,0.001,8.6,True,0,JNJ,100
4,0.388259,0.418147,0.412126,0.001,8.59,False,1,JNJ,100
5,0.387522,0.41178,0.41178,0.001,8.44,True,0,JNJ,100
6,0.387802,0.419517,0.41178,0.001,8.62,False,1,JNJ,100
7,0.387812,0.411835,0.41178,0.001,8.37,False,2,JNJ,100
8,0.386731,0.412408,0.41178,0.001,8.92,False,3,JNJ,100
9,0.386262,0.413494,0.41178,0.001,8.51,False,4,JNJ,100
10,0.386299,0.414453,0.41178,0.001,8.88,False,5,JNJ,100
11,0.386384,0.414081,0.41178,0.001,8.52,False,6,JNJ,100
12,0.384995,0.413119,0.41178,0.0005,8.75,False,7,JNJ,100
