epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.410988,0.416315,0.416315,0.001,1.8,True,0,JNJ,42
2,0.39335,0.412955,0.412955,0.001,1.56,True,0,JNJ,42
3,0.388186,0.414434,0.412955,0.001,1.65,False,1,JNJ,42
4,0.386049,0.41252,0.41252,0.001,1.62,True,0,JNJ,42
5,0.382148,0.40932,0.40932,0.001,1.62,True,0,JNJ,42
6,0.380634,0.413312,0.40932,0.001,1.8,False,1,JNJ,42
7,0.378644,0.409605,0.40932,0.001,1.58,False,2,JNJ,42
8,0.376217,0.408602,0.408602,0.001,1.85,True,0,JNJ,42
9,0.372337,0.41011,0.408602,0.001,1.73,False,1,JNJ,42
10,0.371353,0.409788,0.408602,0.001,1.6,False,2,JNJ,42
11,0.36919,0.414045,0.408602,0.001,1.76,False,3,JNJ,42
12,0.366728,0.409154,0.408602,0.001,1.6,False,4,JNJ,42
13,0.36703,0.414486,0.408602,0.001,1.67,False,5,JNJ,42
14,0.366538,0.417461,0.408602,0.001,1.61,False,6,JNJ,42
15,0.358845,0.413916,0.408602,0.0005,1.59,False,7,JNJ,42
