epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.387843,0.429284,0.429284,0.001,6.28,True,0,JNJ,42
2,0.384175,0.428772,0.428772,0.001,6.21,True,0,JNJ,42
3,0.383843,0.428389,0.428389,0.001,6.46,True,0,JNJ,42
4,0.384613,0.428644,0.428389,0.001,6.23,False,1,JNJ,42
5,0.389152,0.42829,0.42829,0.001,6.29,True,0,JNJ,42
6,0.384634,0.428439,0.42829,0.001,6.63,False,1,JNJ,42
7,0.383063,0.428319,0.42829,0.001,6.59,False,2,JNJ,42
8,0.385814,0.428293,0.42829,0.001,6.31,False,3,JNJ,42
9,0.384104,0.428325,0.42829,0.001,7.12,False,4,JNJ,42
10,0.385145,0.428323,0.42829,0.001,6.26,False,5,JNJ,42
11,0.385278,0.428302,0.42829,0.001,6.37,False,6,JNJ,42
12,0.383491,0.428317,0.42829,0.0005,6.29,False,7,JNJ,42
