epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.388791,0.412485,0.412485,0.001,2.18,True,0,JNJ,42
2,0.386771,0.413453,0.412485,0.001,2.17,False,1,JNJ,42
3,0.38591,0.412924,0.412485,0.001,2.21,False,2,JNJ,42
4,0.385606,0.411925,0.411925,0.001,2.08,True,0,JNJ,42
5,0.385054,0.411614,0.411614,0.001,2.1,True,0,JNJ,42
6,0.385035,0.411794,0.411614,0.001,2.07,False,1,JNJ,42
7,0.385066,0.412686,0.411614,0.001,2.15,False,2,JNJ,42
8,0.384663,0.411936,0.411614,0.001,2.18,False,3,JNJ,42
9,0.384582,0.412334,0.411614,0.001,2.19,False,4,JNJ,42
10,0.384813,0.411712,0.411614,0.001,2.1,False,5,JNJ,42
11,0.384484,0.411604,0.411604,0.001,2.25,True,0,JNJ,42
12,0.38479,0.411408,0.411408,0.0005,2.17,True,0,JNJ,42
13,0.384226,0.411551,0.411408,0.0005,2.26,False,1,JNJ,42
14,0.384304,0.411508,0.411408,0.0005,2.15,False,2,JNJ,42
15,0.384532,0.411229,0.411229,0.0005,2.06,True,0,JNJ,42
16,0.384045,0.411484,0.411229,0.0005,2.09,False,1,JNJ,42
17,0.384476,0.41158,0.411229,0.0005,2.16,False,2,JNJ,42
18,0.384374,0.411157,0.411157,0.0005,2.07,True,0,JNJ,42
19,0.384653,0.411171,0.411157,0.0005,2.32,False,1,JNJ,42
20,0.384407,0.411901,0.411157,0.0005,2.36,False,2,JNJ,42
21,0.384433,0.411218,0.411157,0.0005,2.16,False,3,JNJ,42
22,0.384354,0.411323,0.411157,0.0005,2.2,False,4,JNJ,42
23,0.38499,0.41118,0.411157,0.0005,2.19,False,5,JNJ,42
24,0.384388,0.411317,0.411157,0.0005,2.23,False,6,JNJ,42
25,0.384466,0.411292,0.411157,0.00025,2.16,False,7,JNJ,42
