epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.410243,0.361691,0.361691,0.001,8.51,True,0,JPM,100
2,0.399416,0.351122,0.351122,0.001,8.42,True,0,JPM,100
3,0.397715,0.346909,0.346909,0.001,9.26,True,0,JPM,100
4,0.396463,0.342556,0.342556,0.001,8.74,True,0,JPM,100
5,0.394629,0.343387,0.342556,0.001,8.27,False,1,JPM,100
6,0.393926,0.34262,0.342556,0.001,8.26,False,2,JPM,100
7,0.394578,0.342313,0.342313,0.001,8.13,True,0,JPM,100
8,0.393575,0.344068,0.342313,0.001,8.22,False,1,JPM,100
9,0.39396,0.344981,0.342313,0.001,8.27,False,2,JPM,100
10,0.393538,0.342698,0.342313,0.001,8.7,False,3,JPM,100
11,0.393083,0.343402,0.342313,0.001,8.11,False,4,JPM,100
12,0.393276,0.342476,0.342313,0.001,8.22,False,5,JPM,100
13,0.393127,0.342586,0.342313,0.001,8.12,False,6,JPM,100
14,0.392395,0.342305,0.342305,0.0005,8.18,True,0,JPM,100
15,0.391687,0.342155,0.342155,0.0005,8.22,True,0,JPM,100
16,0.393061,0.342096,0.342096,0.0005,8.24,True,0,JPM,100
17,0.392783,0.342514,0.342096,0.0005,8.17,False,1,JPM,100
18,0.393012,0.34225,0.342096,0.0005,8.76,False,2,JPM,100
19,0.39296,0.34227,0.342096,0.0005,8.11,False,3,JPM,100
20,0.393462,0.342169,0.342096,0.0005,8.16,False,4,JPM,100
21,0.392137,0.34222,0.342096,0.0005,8.04,False,5,JPM,100
22,0.392369,0.342083,0.342083,0.0005,8.22,True,0,JPM,100
23,0.392745,0.342199,0.342083,0.00025,8.22,False,1,JPM,100
24,0.392318,0.342065,0.342065,0.00025,8.17,True,0,JPM,100
25,0.392541,0.34227,0.342065,0.00025,8.7,False,1,JPM,100
26,0.392305,0.342157,0.342065,0.00025,8.29,False,2,JPM,100
27,0.392197,0.342102,0.342065,0.00025,8.37,False,3,JPM,100
28,0.392363,0.34212,0.342065,0.00025,8.2,False,4,JPM,100
29,0.392415,0.342198,0.342065,0.000125,8.28,False,5,JPM,100
30,0.392813,0.342154,0.342065,0.000125,8.12,False,6,JPM,100
31,0.391941,0.342031,0.342031,0.000125,8.27,True,0,JPM,100
32,0.392999,0.342024,0.342024,0.000125,8.25,True,0,JPM,100
33,0.392343,0.342028,0.342024,0.000125,8.72,False,1,JPM,100
34,0.392109,0.342101,0.342024,0.000125,8.06,False,2,JPM,100
35,0.392139,0.342021,0.342021,0.000125,8.35,True,0,JPM,100
36,0.392227,0.342075,0.342021,0.000125,8.04,False,1,JPM,100
37,0.391646,0.342135,0.342021,0.000125,8.27,False,2,JPM,100
38,0.391791,0.342059,0.342021,6.25e-05,8.33,False,3,JPM,100
39,0.39216,0.342037,0.342021,6.25e-05,8.2,False,4,JPM,100
40,0.392168,0.342045,0.342021,6.25e-05,8.64,False,5,JPM,100
41,0.391632,0.342005,0.342005,6.25e-05,8.25,True,0,JPM,100
42,0.3923,0.342022,0.342005,6.25e-05,8.13,False,1,JPM,100
43,0.392465,0.342045,0.342005,6.25e-05,8.2,False,2,JPM,100
44,0.391832,0.342026,0.342005,3.125e-05,8.09,False,3,JPM,100
45,0.392592,0.342051,0.342005,3.125e-05,8.35,False,4,JPM,100
46,0.391834,0.342048,0.342005,3.125e-05,8.22,False,5,JPM,100
47,0.391564,0.342,0.342,3.125e-05,8.43,True,0,JPM,100
48,0.391964,0.342056,0.342,3.125e-05,8.5,False,1,JPM,100
49,0.392297,0.342076,0.342,3.125e-05,8.2,False,2,JPM,100
50,0.391897,0.342041,0.342,1.5625e-05,8.08,False,3,JPM,100
51,0.392433,0.342031,0.342,1.5625e-05,8.16,False,4,JPM,100
52,0.392644,0.342057,0.342,1.5625e-05,8.22,False,5,JPM,100
53,0.392731,0.34206,0.342,1.5625e-05,8.3,False,6,JPM,100
54,0.392253,0.342047,0.342,1.5625e-05,8.2,False,7,JPM,100
