epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.41298,0.345671,0.345671,0.001,1.89,True,0,JPM,100
2,0.401251,0.348703,0.345671,0.001,1.72,False,1,JPM,100
3,0.397211,0.348636,0.345671,0.001,1.74,False,2,JPM,100
4,0.396197,0.349951,0.345671,0.001,1.98,False,3,JPM,100
5,0.393785,0.346178,0.345671,0.001,1.75,False,4,JPM,100
6,0.390926,0.344189,0.344189,0.001,1.82,True,0,JPM,100
7,0.387649,0.344369,0.344189,0.001,1.84,False,1,JPM,100
8,0.382136,0.34288,0.34288,0.001,1.8,True,0,JPM,100
9,0.379023,0.343022,0.34288,0.001,1.77,False,1,JPM,100
10,0.379496,0.344562,0.34288,0.001,1.79,False,2,JPM,100
11,0.374721,0.343509,0.34288,0.001,1.85,False,3,JPM,100
12,0.375075,0.345879,0.34288,0.001,2.19,False,4,JPM,100
13,0.371968,0.344105,0.34288,0.001,2.05,False,5,JPM,100
14,0.37083,0.344255,0.34288,0.001,1.84,False,6,JPM,100
15,0.36915,0.345288,0.34288,0.0005,1.78,False,7,JPM,100
