epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.398345,0.378352,0.378352,0.001,8.01,True,0,JPM,42
2,0.396281,0.378167,0.378167,0.001,7.68,True,0,JPM,42
3,0.393551,0.37711,0.37711,0.001,9.0,True,0,JPM,42
4,0.393342,0.377363,0.37711,0.001,6.92,False,1,JPM,42
5,0.398841,0.377138,0.37711,0.001,6.85,False,2,JPM,42
6,0.392636,0.377274,0.37711,0.001,6.46,False,3,JPM,42
7,0.393507,0.377157,0.37711,0.001,5.97,False,4,JPM,42
8,0.395541,0.377136,0.37711,0.001,6.32,False,5,JPM,42
9,0.3929,0.377483,0.37711,0.001,6.46,False,6,JPM,42
10,0.393073,0.377114,0.37711,0.0005,6.38,False,7,JPM,42
