epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.397632,0.366062,0.366062,0.001,2.43,True,0,JPM,100
2,0.394447,0.349974,0.349974,0.001,2.41,True,0,JPM,100
3,0.394017,0.348096,0.348096,0.001,2.39,True,0,JPM,100
4,0.393888,0.35157,0.348096,0.001,2.35,False,1,JPM,100
5,0.393874,0.343861,0.343861,0.001,2.38,True,0,JPM,100
6,0.393266,0.344941,0.343861,0.001,2.45,False,1,JPM,100
7,0.392905,0.346303,0.343861,0.001,2.31,False,2,JPM,100
8,0.392757,0.355384,0.343861,0.001,2.29,False,3,JPM,100
9,0.392545,0.345243,0.343861,0.001,2.32,False,4,JPM,100
10,0.393663,0.348599,0.343861,0.001,2.42,False,5,JPM,100
11,0.392933,0.346289,0.343861,0.001,2.32,False,6,JPM,100
12,0.392793,0.343916,0.343861,0.0005,2.45,False,7,JPM,100
