epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.405069,0.348218,0.348218,0.001,7.94,True,0,KO,42
2,0.392046,0.350978,0.348218,0.001,7.75,False,1,KO,42
3,0.390646,0.346622,0.346622,0.001,7.83,True,0,KO,42
4,0.388515,0.346658,0.346622,0.001,7.53,False,1,KO,42
5,0.38838,0.346881,0.346622,0.001,7.62,False,2,KO,42
6,0.387228,0.345834,0.345834,0.001,8.35,True,0,KO,42
7,0.387177,0.345519,0.345519,0.001,7.55,True,0,KO,42
8,0.386636,0.344375,0.344375,0.001,8.08,True,0,KO,42
9,0.385883,0.345692,0.344375,0.001,7.82,False,1,KO,42
10,0.385438,0.34825,0.344375,0.001,7.78,False,2,KO,42
11,0.385913,0.345899,0.344375,0.001,7.73,False,3,KO,42
12,0.385497,0.345369,0.344375,0.001,8.18,False,4,KO,42
13,0.385748,0.345913,0.344375,0.001,8.56,False,5,KO,42
14,0.385196,0.346791,0.344375,0.001,7.95,False,6,KO,42
15,0.385034,0.345481,0.344375,0.0005,7.78,False,7,KO,42
