epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.404966,0.347647,0.347647,0.001,1.71,True,0,KO,42
2,0.391996,0.344277,0.344277,0.001,1.67,True,0,KO,42
3,0.388921,0.346519,0.344277,0.001,1.53,False,1,KO,42
4,0.386655,0.346283,0.344277,0.001,1.59,False,2,KO,42
5,0.38695,0.343881,0.343881,0.001,1.72,True,0,KO,42
6,0.38444,0.344819,0.343881,0.001,1.67,False,1,KO,42
7,0.384124,0.34385,0.34385,0.001,1.63,True,0,KO,42
8,0.383005,0.343271,0.343271,0.001,1.63,True,0,KO,42
9,0.383148,0.343132,0.343132,0.001,1.6,True,0,KO,42
10,0.381306,0.343322,0.343132,0.001,1.53,False,1,KO,42
11,0.378482,0.344061,0.343132,0.001,1.75,False,2,KO,42
12,0.373981,0.34374,0.343132,0.001,1.59,False,3,KO,42
13,0.36823,0.34509,0.343132,0.001,1.61,False,4,KO,42
14,0.369917,0.344439,0.343132,0.001,1.64,False,5,KO,42
15,0.360915,0.343258,0.343132,0.001,1.65,False,6,KO,42
16,0.351661,0.344333,0.343132,0.0005,1.63,False,7,KO,42
