epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.387402,0.363605,0.363605,0.001,5.54,True,0,KO,42
2,0.386856,0.365128,0.363605,0.001,5.56,False,1,KO,42
3,0.384795,0.362589,0.362589,0.001,5.66,True,0,KO,42
4,0.385392,0.362828,0.362589,0.001,5.6,False,1,KO,42
5,0.390406,0.361977,0.361977,0.001,5.64,True,0,KO,42
6,0.385064,0.362896,0.361977,0.001,5.73,False,1,KO,42
7,0.383446,0.361508,0.361508,0.001,5.59,True,0,KO,42
8,0.385896,0.361485,0.361485,0.001,5.8,True,0,KO,42
9,0.386062,0.361305,0.361305,0.001,5.71,True,0,KO,42
10,0.385051,0.361237,0.361237,0.001,5.43,True,0,KO,42
11,0.387788,0.361463,0.361237,0.001,5.47,False,1,KO,42
12,0.384832,0.361209,0.361209,0.001,5.52,True,0,KO,42
13,0.386398,0.361247,0.361209,0.001,5.39,False,1,KO,42
14,0.383986,0.360808,0.360808,0.001,5.28,True,0,KO,42
15,0.383334,0.360973,0.360808,0.001,5.57,False,1,KO,42
16,0.384553,0.361445,0.360808,0.001,5.71,False,2,KO,42
17,0.385203,0.361499,0.360808,0.001,5.73,False,3,KO,42
18,0.386992,0.361177,0.360808,0.001,5.7,False,4,KO,42
19,0.386696,0.361628,0.360808,0.001,6.04,False,5,KO,42
20,0.383824,0.361509,0.360808,0.001,5.67,False,6,KO,42
21,0.38378,0.362157,0.360808,0.0005,5.68,False,7,KO,42
