epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.3892,0.348948,0.348948,0.001,2.23,True,0,KO,100
2,0.387,0.347017,0.347017,0.001,2.18,True,0,KO,100
3,0.38532,0.348896,0.347017,0.001,2.1,False,1,KO,100
4,0.385797,0.345944,0.345944,0.001,2.16,True,0,KO,100
5,0.385595,0.348814,0.345944,0.001,2.03,False,1,KO,100
6,0.385573,0.347477,0.345944,0.001,2.13,False,2,KO,100
7,0.384346,0.345174,0.345174,0.001,2.2,True,0,KO,100
8,0.38526,0.345272,0.345174,0.001,2.08,False,1,KO,100
9,0.384594,0.346544,0.345174,0.001,2.07,False,2,KO,100
10,0.38531,0.348545,0.345174,0.001,2.41,False,3,KO,100
11,0.385967,0.346383,0.345174,0.001,2.2,False,4,KO,100
12,0.385223,0.345715,0.345174,0.001,2.1,False,5,KO,100
13,0.384772,0.344528,0.344528,0.001,2.14,True,0,KO,100
14,0.383844,0.344979,0.344528,0.001,2.08,False,1,KO,100
15,0.384843,0.346313,0.344528,0.001,2.08,False,2,KO,100
16,0.384365,0.347547,0.344528,0.001,2.14,False,3,KO,100
17,0.38441,0.345823,0.344528,0.001,2.18,False,4,KO,100
18,0.384734,0.345147,0.344528,0.001,2.23,False,5,KO,100
19,0.383997,0.34641,0.344528,0.001,2.17,False,6,KO,100
20,0.383779,0.346761,0.344528,0.0005,2.15,False,7,KO,100
