epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.414637,0.624973,0.624973,0.001,7.84,True,0,LLY,42
2,0.406588,0.627559,0.624973,0.001,8.43,False,1,LLY,42
3,0.405852,0.624827,0.624827,0.001,7.74,True,0,LLY,42
4,0.403011,0.627136,0.624827,0.001,7.78,False,1,LLY,42
5,0.40168,0.633471,0.624827,0.001,7.82,False,2,LLY,42
6,0.401587,0.631482,0.624827,0.001,7.67,False,3,LLY,42
7,0.401341,0.62752,0.624827,0.001,7.75,False,4,LLY,42
8,0.401457,0.629609,0.624827,0.001,7.69,False,5,LLY,42
9,0.400515,0.628914,0.624827,0.001,7.69,False,6,LLY,42
10,0.399834,0.626409,0.624827,0.0005,8.16,False,7,LLY,42
