epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.423207,0.629354,0.629354,0.001,1.71,True,0,LLY,42
2,0.407882,0.626002,0.626002,0.001,1.62,True,0,LLY,42
3,0.403489,0.625918,0.625918,0.001,1.68,True,0,LLY,42
4,0.402851,0.625053,0.625053,0.001,1.7,True,0,LLY,42
5,0.401978,0.624239,0.624239,0.001,1.59,True,0,LLY,42
6,0.40072,0.62422,0.62422,0.001,1.73,True,0,LLY,42
7,0.401544,0.623901,0.623901,0.001,1.55,True,0,LLY,42
8,0.400119,0.624688,0.623901,0.001,1.55,False,1,LLY,42
9,0.399687,0.623865,0.623865,0.001,1.73,True,0,LLY,42
10,0.39804,0.62459,0.623865,0.001,1.63,False,1,LLY,42
11,0.396941,0.62317,0.62317,0.001,1.69,True,0,LLY,42
12,0.395698,0.623597,0.62317,0.001,1.59,False,1,LLY,42
13,0.393891,0.622936,0.622936,0.001,1.53,True,0,LLY,42
14,0.393803,0.622972,0.622936,0.001,1.68,False,1,LLY,42
15,0.391802,0.622385,0.622385,0.001,1.57,True,0,LLY,42
16,0.387884,0.622245,0.622245,0.001,1.71,True,0,LLY,42
17,0.384318,0.621953,0.621953,0.001,1.57,True,0,LLY,42
18,0.383543,0.622008,0.621953,0.001,1.79,False,1,LLY,42
19,0.379661,0.620671,0.620671,0.001,1.81,True,0,LLY,42
20,0.378702,0.620958,0.620671,0.001,1.74,False,1,LLY,42
21,0.37758,0.620581,0.620581,0.001,1.75,True,0,LLY,42
22,0.376999,0.620583,0.620581,0.001,1.59,False,1,LLY,42
23,0.372507,0.619862,0.619862,0.001,1.67,True,0,LLY,42
24,0.372114,0.620859,0.619862,0.001,1.65,False,1,LLY,42
25,0.368828,0.619418,0.619418,0.001,1.62,True,0,LLY,42
26,0.36722,0.620185,0.619418,0.001,1.82,False,1,LLY,42
27,0.366312,0.620167,0.619418,0.001,1.62,False,2,LLY,42
28,0.362922,0.623005,0.619418,0.001,1.75,False,3,LLY,42
29,0.36346,0.625932,0.619418,0.001,1.6,False,4,LLY,42
30,0.361024,0.625082,0.619418,0.001,1.63,False,5,LLY,42
31,0.355189,0.622807,0.619418,0.001,1.61,False,6,LLY,42
32,0.355986,0.623253,0.619418,0.0005,1.58,False,7,LLY,42
