epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.40256,0.660922,0.660922,0.001,5.43,True,0,LLY,100
2,0.399267,0.65894,0.65894,0.001,5.64,True,0,LLY,100
3,0.398526,0.658481,0.658481,0.001,6.28,True,0,LLY,100
4,0.397063,0.658854,0.658481,0.001,5.41,False,1,LLY,100
5,0.401262,0.659096,0.658481,0.001,5.5,False,2,LLY,100
6,0.398123,0.659255,0.658481,0.001,5.51,False,3,LLY,100
7,0.399748,0.660482,0.658481,0.001,5.48,False,4,LLY,100
8,0.39749,0.661746,0.658481,0.001,5.5,False,5,LLY,100
9,0.401844,0.688122,0.658481,0.001,5.56,False,6,LLY,100
10,0.400119,0.705625,0.658481,0.0005,5.57,False,7,LLY,100
