epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.403472,0.678895,0.678895,0.001,2.07,True,0,LLY,100
2,0.402091,0.630177,0.630177,0.001,2.15,True,0,LLY,100
3,0.400462,0.626134,0.626134,0.001,2.09,True,0,LLY,100
4,0.40023,0.626291,0.626134,0.001,2.06,False,1,LLY,100
5,0.399396,0.636682,0.626134,0.001,2.15,False,2,LLY,100
6,0.399353,0.627511,0.626134,0.001,2.37,False,3,LLY,100
7,0.399177,0.623411,0.623411,0.001,2.23,True,0,LLY,100
8,0.399605,0.622684,0.622684,0.001,2.17,True,0,LLY,100
9,0.399231,0.622827,0.622684,0.001,2.07,False,1,LLY,100
10,0.399101,0.623211,0.622684,0.001,2.13,False,2,LLY,100
11,0.399245,0.622508,0.622508,0.001,2.15,True,0,LLY,100
12,0.399016,0.622913,0.622508,0.001,2.14,False,1,LLY,100
13,0.399219,0.626632,0.622508,0.001,2.19,False,2,LLY,100
14,0.398733,0.62401,0.622508,0.001,2.15,False,3,LLY,100
15,0.398385,0.626241,0.622508,0.001,2.0,False,4,LLY,100
16,0.398933,0.622566,0.622508,0.001,2.36,False,5,LLY,100
17,0.398604,0.622685,0.622508,0.001,2.18,False,6,LLY,100
18,0.398676,0.62356,0.622508,0.0005,2.23,False,7,LLY,100
