epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.416379,0.235379,0.235379,0.001,8.2,True,0,MA,42
2,0.402545,0.226991,0.226991,0.001,8.06,True,0,MA,42
3,0.397913,0.216971,0.216971,0.001,8.11,True,0,MA,42
4,0.396442,0.219925,0.216971,0.001,8.16,False,1,MA,42
5,0.396591,0.219908,0.216971,0.001,8.08,False,2,MA,42
6,0.396349,0.215036,0.215036,0.001,8.31,True,0,MA,42
7,0.394768,0.214068,0.214068,0.001,8.49,True,0,MA,42
8,0.394576,0.214964,0.214068,0.001,8.14,False,1,MA,42
9,0.394187,0.214223,0.214068,0.001,8.07,False,2,MA,42
10,0.393719,0.21575,0.214068,0.001,8.1,False,3,MA,42
11,0.393685,0.212652,0.212652,0.001,8.05,True,0,MA,42
12,0.393732,0.212491,0.212491,0.001,8.32,True,0,MA,42
13,0.393747,0.211114,0.211114,0.001,8.1,True,0,MA,42
14,0.393596,0.212031,0.211114,0.001,8.74,False,1,MA,42
15,0.393315,0.212563,0.211114,0.001,8.05,False,2,MA,42
16,0.393397,0.212359,0.211114,0.001,8.38,False,3,MA,42
17,0.392951,0.211181,0.211114,0.001,8.15,False,4,MA,42
18,0.393685,0.211029,0.211029,0.001,8.4,True,0,MA,42
19,0.393275,0.21122,0.211029,0.001,8.32,False,1,MA,42
20,0.392986,0.211713,0.211029,0.001,8.15,False,2,MA,42
21,0.393185,0.210577,0.210577,0.001,8.45,True,0,MA,42
22,0.393,0.210803,0.210577,0.001,8.26,False,1,MA,42
23,0.392881,0.211102,0.210577,0.001,8.12,False,2,MA,42
24,0.394078,0.210764,0.210577,0.001,8.27,False,3,MA,42
25,0.393565,0.212454,0.210577,0.001,8.19,False,4,MA,42
26,0.393586,0.210591,0.210577,0.001,8.1,False,5,MA,42
27,0.392914,0.210543,0.210543,0.001,8.37,True,0,MA,42
28,0.392624,0.210629,0.210543,0.001,8.17,False,1,MA,42
29,0.393068,0.211395,0.210543,0.001,8.59,False,2,MA,42
30,0.393223,0.210844,0.210543,0.001,8.09,False,3,MA,42
31,0.392905,0.211875,0.210543,0.001,8.25,False,4,MA,42
32,0.393216,0.210972,0.210543,0.001,8.25,False,5,MA,42
33,0.392764,0.210779,0.210543,0.001,8.2,False,6,MA,42
34,0.392224,0.213707,0.210543,0.0005,8.15,False,7,MA,42
