epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.425312,0.229614,0.229614,0.001,2.12,True,0,MA,42
2,0.403713,0.215598,0.215598,0.001,1.79,True,0,MA,42
3,0.399563,0.214564,0.214564,0.001,1.78,True,0,MA,42
4,0.397876,0.216321,0.214564,0.001,1.72,False,1,MA,42
5,0.396106,0.216214,0.214564,0.001,1.69,False,2,MA,42
6,0.394652,0.214217,0.214217,0.001,1.75,True,0,MA,42
7,0.393756,0.215946,0.214217,0.001,1.7,False,1,MA,42
8,0.391087,0.217104,0.214217,0.001,1.78,False,2,MA,42
9,0.391384,0.219305,0.214217,0.001,1.74,False,3,MA,42
10,0.388672,0.218133,0.214217,0.001,1.68,False,4,MA,42
11,0.385595,0.216577,0.214217,0.001,1.71,False,5,MA,42
12,0.378851,0.218103,0.214217,0.001,1.7,False,6,MA,42
13,0.375624,0.220608,0.214217,0.0005,1.81,False,7,MA,42
