epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.395091,0.225976,0.225976,0.001,5.96,True,0,MA,42
2,0.394622,0.225957,0.225957,0.001,5.81,True,0,MA,42
3,0.393659,0.225597,0.225597,0.001,6.57,True,0,MA,42
4,0.391395,0.226203,0.225597,0.001,5.94,False,1,MA,42
5,0.39573,0.225611,0.225597,0.001,5.95,False,2,MA,42
6,0.392072,0.225579,0.225579,0.001,5.96,True,0,MA,42
7,0.392031,0.225466,0.225466,0.001,5.78,True,0,MA,42
8,0.394805,0.225384,0.225384,0.001,5.95,True,0,MA,42
9,0.392674,0.225836,0.225384,0.001,5.84,False,1,MA,42
10,0.395503,0.225441,0.225384,0.001,5.84,False,2,MA,42
11,0.395429,0.225372,0.225372,0.001,5.73,True,0,MA,42
12,0.392807,0.22549,0.225372,0.001,5.94,False,1,MA,42
13,0.393223,0.225361,0.225361,0.001,6.39,True,0,MA,42
14,0.393511,0.225355,0.225355,0.001,5.83,True,0,MA,42
15,0.393717,0.225413,0.225355,0.001,5.94,False,1,MA,42
16,0.392989,0.225409,0.225355,0.001,5.73,False,2,MA,42
17,0.391884,0.225389,0.225355,0.001,5.73,False,3,MA,42
18,0.393527,0.225414,0.225355,0.001,5.77,False,4,MA,42
19,0.394191,0.225348,0.225348,0.001,5.89,True,0,MA,42
20,0.393326,0.22541,0.225348,0.0005,5.75,False,1,MA,42
21,0.390972,0.225389,0.225348,0.0005,6.03,False,2,MA,42
22,0.391254,0.225368,0.225348,0.0005,5.78,False,3,MA,42
23,0.397912,0.225338,0.225338,0.0005,6.04,True,0,MA,42
24,0.392207,0.225364,0.225338,0.0005,6.14,False,1,MA,42
25,0.393664,0.225372,0.225338,0.0005,5.83,False,2,MA,42
26,0.397228,0.225331,0.225331,0.0005,5.82,True,0,MA,42
27,0.392461,0.225405,0.225331,0.0005,5.98,False,1,MA,42
28,0.397643,0.225336,0.225331,0.0005,5.91,False,2,MA,42
29,0.390687,0.225358,0.225331,0.0005,5.86,False,3,MA,42
30,0.392773,0.22537,0.225331,0.00025,5.8,False,4,MA,42
31,0.393986,0.225387,0.225331,0.00025,6.0,False,5,MA,42
32,0.391693,0.225394,0.225331,0.00025,5.93,False,6,MA,42
33,0.394081,0.225389,0.225331,0.00025,5.92,False,7,MA,42
