epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.39794,0.216346,0.216346,0.001,2.15,True,0,MA,100
2,0.395154,0.217698,0.216346,0.001,2.29,False,1,MA,100
3,0.394428,0.216634,0.216346,0.001,2.23,False,2,MA,100
4,0.393479,0.210858,0.210858,0.001,2.34,True,0,MA,100
5,0.393342,0.211962,0.210858,0.001,2.22,False,1,MA,100
6,0.393268,0.210817,0.210817,0.001,2.26,True,0,MA,100
7,0.392705,0.210485,0.210485,0.001,2.14,True,0,MA,100
8,0.392851,0.210928,0.210485,0.001,2.25,False,1,MA,100
9,0.392697,0.210739,0.210485,0.001,2.22,False,2,MA,100
10,0.393984,0.210737,0.210485,0.001,2.47,False,3,MA,100
11,0.392683,0.210506,0.210485,0.001,2.31,False,4,MA,100
12,0.393069,0.211188,0.210485,0.001,2.27,False,5,MA,100
13,0.392846,0.210401,0.210401,0.001,2.29,True,0,MA,100
14,0.392631,0.21044,0.210401,0.001,2.21,False,1,MA,100
15,0.392275,0.210436,0.210401,0.001,2.27,False,2,MA,100
16,0.392828,0.210358,0.210358,0.001,2.25,True,0,MA,100
17,0.392987,0.210218,0.210218,0.001,2.3,True,0,MA,100
18,0.392921,0.210625,0.210218,0.001,2.2,False,1,MA,100
19,0.392063,0.210433,0.210218,0.001,2.28,False,2,MA,100
20,0.392208,0.210397,0.210218,0.001,2.29,False,3,MA,100
21,0.392862,0.210448,0.210218,0.001,2.27,False,4,MA,100
22,0.392328,0.210364,0.210218,0.001,2.23,False,5,MA,100
23,0.393084,0.210264,0.210218,0.001,2.28,False,6,MA,100
24,0.392425,0.210127,0.210127,0.0005,2.23,True,0,MA,100
25,0.392879,0.210268,0.210127,0.0005,2.37,False,1,MA,100
26,0.392179,0.210132,0.210127,0.0005,2.25,False,2,MA,100
27,0.392388,0.210286,0.210127,0.0005,2.3,False,3,MA,100
28,0.392649,0.210225,0.210127,0.0005,2.29,False,4,MA,100
29,0.39186,0.210128,0.210127,0.0005,2.21,False,5,MA,100
30,0.392064,0.210213,0.210127,0.0005,2.27,False,6,MA,100
31,0.392621,0.210149,0.210127,0.00025,2.23,False,7,MA,100
