epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.406018,0.404304,0.404304,0.001,26.22,True,0,MCD,100
2,0.39445,0.405606,0.404304,0.001,11.84,False,1,MCD,100
3,0.392415,0.404787,0.404304,0.001,17.18,False,2,MCD,100
4,0.391087,0.409181,0.404304,0.001,25.94,False,3,MCD,100
5,0.390476,0.403865,0.403865,0.001,26.04,True,0,MCD,100
6,0.390391,0.405288,0.403865,0.001,26.56,False,1,MCD,100
7,0.390026,0.404546,0.403865,0.001,25.89,False,2,MCD,100
8,0.388845,0.40426,0.403865,0.001,25.97,False,3,MCD,100
9,0.389138,0.405558,0.403865,0.001,24.97,False,4,MCD,100
10,0.38856,0.405098,0.403865,0.001,25.92,False,5,MCD,100
11,0.388809,0.402608,0.402608,0.001,26.3,True,0,MCD,100
12,0.388282,0.402509,0.402509,0.001,25.3,True,0,MCD,100
13,0.388511,0.403048,0.402509,0.001,26.15,False,1,MCD,100
14,0.388037,0.40261,0.402509,0.001,26.08,False,2,MCD,100
15,0.38763,0.403628,0.402509,0.001,20.19,False,3,MCD,100
16,0.388757,0.40377,0.402509,0.001,8.91,False,4,MCD,100
17,0.387263,0.402542,0.402509,0.001,10.83,False,5,MCD,100
18,0.387656,0.402845,0.402509,0.001,8.46,False,6,MCD,100
19,0.388058,0.402619,0.402509,0.0005,8.43,False,7,MCD,100
