epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.415814,0.420592,0.420592,0.001,6.26,True,0,MCD,100
2,0.399628,0.406146,0.406146,0.001,5.78,True,0,MCD,100
3,0.394539,0.405322,0.405322,0.001,5.96,True,0,MCD,100
4,0.392529,0.407145,0.405322,0.001,6.09,False,1,MCD,100
5,0.393057,0.408489,0.405322,0.001,5.95,False,2,MCD,100
6,0.390087,0.405209,0.405209,0.001,5.8,True,0,MCD,100
7,0.38894,0.406597,0.405209,0.001,6.41,False,1,MCD,100
8,0.388242,0.405825,0.405209,0.001,5.81,False,2,MCD,100
9,0.387756,0.410257,0.405209,0.001,5.93,False,3,MCD,100
10,0.386443,0.404725,0.404725,0.001,5.67,True,0,MCD,100
11,0.385483,0.406457,0.404725,0.001,5.7,False,1,MCD,100
12,0.383161,0.405326,0.404725,0.001,5.8,False,2,MCD,100
13,0.381357,0.404525,0.404525,0.001,5.75,True,0,MCD,100
14,0.37924,0.404657,0.404525,0.001,5.69,False,1,MCD,100
15,0.376527,0.404223,0.404223,0.001,5.63,True,0,MCD,100
16,0.374194,0.405834,0.404223,0.001,5.71,False,1,MCD,100
17,0.372154,0.405042,0.404223,0.001,6.16,False,2,MCD,100
18,0.368975,0.405093,0.404223,0.001,5.75,False,3,MCD,100
19,0.371214,0.40897,0.404223,0.001,5.69,False,4,MCD,100
20,0.362748,0.403895,0.403895,0.001,5.71,True,0,MCD,100
21,0.364903,0.402361,0.402361,0.001,5.78,True,0,MCD,100
22,0.357928,0.403004,0.402361,0.001,5.65,False,1,MCD,100
23,0.357897,0.403162,0.402361,0.001,5.72,False,2,MCD,100
24,0.357828,0.403091,0.402361,0.001,6.04,False,3,MCD,100
25,0.354576,0.40306,0.402361,0.001,5.79,False,4,MCD,100
26,0.351989,0.402995,0.402361,0.001,5.92,False,5,MCD,100
27,0.349484,0.403646,0.402361,0.001,6.4,False,6,MCD,100
28,0.351479,0.403159,0.402361,0.0005,5.69,False,7,MCD,100
