epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.394351,0.442609,0.442609,0.001,6.1,True,0,MCD,100
2,0.389256,0.44237,0.44237,0.001,6.29,True,0,MCD,100
3,0.388333,0.443295,0.44237,0.001,6.32,False,1,MCD,100
4,0.386821,0.442258,0.442258,0.001,6.08,True,0,MCD,100
5,0.392776,0.441998,0.441998,0.001,6.24,True,0,MCD,100
6,0.388368,0.442255,0.441998,0.001,6.83,False,1,MCD,100
7,0.38888,0.442139,0.441998,0.001,5.97,False,2,MCD,100
8,0.387255,0.44162,0.44162,0.001,6.07,True,0,MCD,100
9,0.387447,0.44162,0.44162,0.001,6.05,True,0,MCD,100
10,0.395522,0.441669,0.44162,0.001,6.3,False,1,MCD,100
11,0.385938,0.441528,0.441528,0.001,6.18,True,0,MCD,100
12,0.387409,0.441468,0.441468,0.001,6.11,True,0,MCD,100
13,0.387339,0.441426,0.441426,0.001,6.37,True,0,MCD,100
14,0.386087,0.441359,0.441359,0.001,6.15,True,0,MCD,100
15,0.386747,0.441367,0.441359,0.001,6.25,False,1,MCD,100
16,0.387331,0.441382,0.441359,0.001,6.52,False,2,MCD,100
17,0.393832,0.441459,0.441359,0.001,5.95,False,3,MCD,100
18,0.387915,0.441434,0.441359,0.001,6.17,False,4,MCD,100
19,0.38645,0.441408,0.441359,0.001,6.04,False,5,MCD,100
20,0.387683,0.441487,0.441359,0.001,6.02,False,6,MCD,100
21,0.388532,0.441491,0.441359,0.0005,6.26,False,7,MCD,100
