epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.39149,0.403351,0.403351,0.001,3.46,True,0,MCD,100
2,0.38788,0.402347,0.402347,0.001,3.62,True,0,MCD,100
3,0.387652,0.40233,0.40233,0.001,3.41,True,0,MCD,100
4,0.387133,0.402458,0.40233,0.001,3.57,False,1,MCD,100
5,0.387054,0.401716,0.401716,0.001,3.45,True,0,MCD,100
6,0.387208,0.401716,0.401716,0.001,3.53,False,1,MCD,100
7,0.387018,0.401528,0.401528,0.001,3.53,True,0,MCD,100
8,0.387122,0.40147,0.40147,0.001,3.6,True,0,MCD,100
9,0.387037,0.401507,0.40147,0.001,3.77,False,1,MCD,100
10,0.387231,0.40141,0.40141,0.001,2.32,True,0,MCD,100
11,0.387531,0.401454,0.40141,0.001,2.47,False,1,MCD,100
12,0.386994,0.401413,0.40141,0.001,2.97,False,2,MCD,100
13,0.387221,0.40143,0.40141,0.001,3.27,False,3,MCD,100
14,0.386857,0.401484,0.40141,0.001,3.48,False,4,MCD,100
15,0.387473,0.401482,0.40141,0.001,3.27,False,5,MCD,100
16,0.386736,0.401427,0.40141,0.001,3.28,False,6,MCD,100
17,0.386604,0.401422,0.40141,0.0005,3.23,False,7,MCD,100
