epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.413636,0.403951,0.403951,0.001,8.47,True,0,META,100
2,0.404643,0.391842,0.391842,0.001,8.23,True,0,META,100
3,0.401304,0.387835,0.387835,0.001,8.74,True,0,META,100
4,0.399611,0.394674,0.387835,0.001,8.28,False,1,META,100
5,0.399322,0.395188,0.387835,0.001,8.19,False,2,META,100
6,0.399245,0.382086,0.382086,0.001,8.2,True,0,META,100
7,0.39856,0.381527,0.381527,0.001,8.37,True,0,META,100
8,0.398365,0.390654,0.381527,0.001,8.45,False,1,META,100
9,0.397864,0.383825,0.381527,0.001,8.49,False,2,META,100
10,0.398354,0.381696,0.381527,0.001,8.2,False,3,META,100
11,0.397523,0.385009,0.381527,0.001,8.64,False,4,META,100
12,0.397573,0.38331,0.381527,0.001,8.33,False,5,META,100
13,0.397411,0.384966,0.381527,0.001,8.37,False,6,META,100
14,0.396371,0.384487,0.381527,0.0005,8.2,False,7,META,100
