epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.422546,0.390985,0.390985,0.001,1.81,True,0,META,42
2,0.406214,0.388267,0.388267,0.001,1.66,True,0,META,42
3,0.402328,0.383583,0.383583,0.001,1.68,True,0,META,42
4,0.401119,0.384967,0.383583,0.001,1.67,False,1,META,42
5,0.399401,0.385458,0.383583,0.001,1.67,False,2,META,42
6,0.398243,0.385979,0.383583,0.001,1.74,False,3,META,42
7,0.399792,0.384648,0.383583,0.001,1.7,False,4,META,42
8,0.398106,0.382278,0.382278,0.001,1.83,True,0,META,42
9,0.397679,0.382333,0.382278,0.001,1.73,False,1,META,42
10,0.397026,0.383073,0.382278,0.001,1.67,False,2,META,42
11,0.396684,0.382774,0.382278,0.001,1.82,False,3,META,42
12,0.397028,0.383962,0.382278,0.001,1.72,False,4,META,42
13,0.396384,0.384999,0.382278,0.001,1.82,False,5,META,42
14,0.396329,0.383606,0.382278,0.001,1.7,False,6,META,42
15,0.394984,0.384998,0.382278,0.0005,1.8,False,7,META,42
