epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.40455,0.374607,0.374607,0.001,6.1,True,0,META,100
2,0.397592,0.37418,0.37418,0.001,5.98,True,0,META,100
3,0.396526,0.374005,0.374005,0.001,6.05,True,0,META,100
4,0.397594,0.374741,0.374005,0.001,5.98,False,1,META,100
5,0.397619,0.373552,0.373552,0.001,6.43,True,0,META,100
6,0.398055,0.373586,0.373552,0.001,6.16,False,1,META,100
7,0.397381,0.373805,0.373552,0.001,5.79,False,2,META,100
8,0.396208,0.373641,0.373552,0.001,5.81,False,3,META,100
9,0.39622,0.373652,0.373552,0.001,6.11,False,4,META,100
10,0.398029,0.374038,0.373552,0.001,5.97,False,5,META,100
11,0.394649,0.375793,0.373552,0.001,5.92,False,6,META,100
12,0.396852,0.379284,0.373552,0.0005,6.04,False,7,META,100
